index,source,edge,target,edge-comments
1,vaccine injuries,are,real,
2,vaccine injuries,affect every year,thousands of people,
3,vaccine injuries,affect every year,thousands of children,
4,children with vaccine injuries,often have completely destroyed,quality of life,
5,children with vaccine injuries,require,special care,
6,children with vaccine injuries,require,therapies,
7,special care,costing,hundreds of thousands of dollars,for children with vaccine injuries
8,therapies,costing,hundreds of thousands of dollars,for children with vaccine injuries
9,children,for children with vaccine injuries,5 to 7 vaccines,in one pediatrician visit
10,children,can be injected with,wrong vaccine,
11,vaccine adverse reactions,not rare according to,CDC,
12,parents,many aren't aware exists,vaccine injury reporting system,
13,health care professionals,should know exists,vaccine injury reporting system,
14,doctors,should know exists,vaccine injury reporting system,
15,doctors,can choose not to report,vaccine adverse reactions,
16,doctors,not required by,law,to report vaccine adverse reactions
17,adverse reactions to drugs,less than 1% reported by,doctors,
18,parents of vaccine-injured children,once trusted,vaccine safety,
19,parents of vaccine-injured children,once trusted,vaccine efficacy,
20,doctors,told parents to trust,vaccine safety,
21,doctors,told parents to trust,vaccine efficacy,
22,parents of vaccine-injured children,often report,behavior changes,in vaccine-injured child
23,behavior changes,in,vaccine-injured child,
24,behavior changes,after,vaccination,
25,behavior changes,such as,seizures,
26,behavior changes,such as,loss of language,
27,behavior changes,such as,loss of coordination,
28,behavior changes,such as,loss of cognitive functions,
29,vaccine-injured children,often revealed to have,ASD,
30,measles,can be deadly with,malnourishment,
31,measles,can be deadly in,underdeveloped country,
32,measles,can be deadly with,poor access to nutritious food,
33,measles,can be deadly with,poor access to clean water,
34,measles,can be dealy with,poor access to medical care,
35,children,none in U.S. have died in over ten years from,measles,
36,CDC,shows,measles decline,before measles vaccine
37,measles,if contracted can expect,fever,
38,measles,if contracted can expect,cough,
39,measles,if contracted can expect,runny nose,
40,measles,if contracted can expect,red spots on body,
41,CDC,says about 2 weeks,measles recovery period,
42,measles,preferable to,ASD,
43,ASD,results in,lifetime need,for special services
44,ASD,results in,extreme challenges,for child with ASD
45,ASD,results in,extreme challenges,for family of child with ASD
46,children with ASD,49 percent,elopement,
47,children with ASD,49 percent,wander off,
48,children with ASD,49 percent put themselves in,harm's way,
49,children with ASD,excessively,wander,
50,children with ASD,excessively,get lost,
51,children with ASD,excessive,drownings,
52,children with ASD,excessively run into,traffic,
53,children with ASD,put into,school isolation rooms,
54,children with ASD,experience,peer bullying,
55,children with ASD,harmed by,special needs staff,
56,children with ASD,abused by,school bus staff,
57,autism,some parents feel more dangerous than,measles,
58,vaccine,people assume provides,benefit,
59,vaccine,people ignore,harm,
60,parents,often express,righteous anger,
61,righteous anger,after hearing cannot hold liable,pharmaceutical companies,
62,pharmaceutical companies,cannot be held liable for,vaccine harm,
63,righteous anger,after learning there is no way to scientifically prove,vaccines,guarantee immunity
64,parents,takes years to gain,courage,to share painful journey
65,vaccination dangers,are listed in,product inserts,
66,vaccination dangers,are rarely discussed by,medical professionals,
67,live-virus vaccines,can cause,encephalitis,
68,endagered children,are those who are,immunocompromised children,
69,immunocompromised children,such as,cancer patients,
70,live-virus vaccine,those recently received are advised to stay away from,cancer patients,
71,live-virus vaccine,those who receive could spread,disease,through viral shedding
72,fearless parents,want to warn others that vaccinating comes with,real risks,
73,doctors,unwilling to admit,real risks,
74,stories about vaccine-injured children,endanger,vaccine manufacturer profits,
75,vaccine-injured children,have paid,ultimate price,
76,parents of vaccine-injured children,trusted,doctors,
77,doctors,repeated,vaccines are safe and effective,
78,doctors,repeated,severe vaccine reactions,are one in a million
