index,source,edge,target,edge-comments
1,shingles vaccine,is made with,pig gelatin,
2,shingles vaccine,is made with,MSG,
3,shingles vaccine,is made with,residual components of human DNA1,
4,residual components of human DNA1,is from an,aborted fetus,
5,shingles vaccine,is branded,Zostavax,
6,shingles vaccine,is branded,Zoster,
7,shingles vaccine,is supposed to reduce,shingles risk,
8,shingles vaccine,is supposed to reduce,pain,
9,pain,incurred by some,elderly people,
10,ACIP,recommends,injection of carcinogenic chemicals,
11,injection of carcinogenic chemicals,is recommended by ACIP for,people 60 years of age and older,elderly
12,shingles,even if already had should get,shingles vaccine,to prevent future occurences
13,shingles risk,very slim if already had,shingles,
14,shingles,is like,chicken pox,
15,shingles vaccine,or,Herpes Zoster,
16,shingles vaccine,contains,MSG,
17,MSG,is known,neurotoxin,
18,MSG,when injected can cause,central nervous system disorders,
19,MSG,when injected can cause,brain damage,
20,shingles vaccine,contains,gelatin,
21,gelatin,derived from,collagen,
22,collagen,inside,pig skin,
23,collagen,inside,pig bones,
24,hydrolyzed porcine gelatin,injecting poses risk of infection from,synthetic growth hormones,
25,seniors,more like to already have,compromised immunity,
26,compromised immunity,thanks to,other vaccines,
27,compromised immunity,thanks to,flu shots,
28,compromised immunity,thanks to,pharmaceuticals,
29,compromised immunity,thanks to,nutrition-lacking food,
30,nutrition-lacking food,if not regularly eating,organic,
31,shingles vaccine,is only good for a few,years,
32,CDC,warns should not get,shingles vaccine,if you have weakened immune system
33,Americans,millions take regularly,antibiotics,
34,antibiotics,regularly prescribed by,doctors,MDs
35,antibiotics,destroy,healthy gut flora,
36,antibiotics,severly compromise,immunity,
37,pregnant women,should not get,shingles vaccine,says CDC
38,CDC,says not to get,shingles vaccine,if pregnant woman
39,ingredients,are virutally the same as most other,vaccines and flu shots,
40,mentally challenged,you are from the toxins in all those,vaccines and flu shots,
41,shingles vaccine ingredients,virtually the same as,other vaccine ingredients,
42,shingles vaccine ingredients,virtually the same as,flu shot ingredients,
43,CDC,implying all,vaccines are not safe,for pregnant women
44,vaccine toxins,result in,mentally-challenged status,
45,flu shot toxins,result in,mentally-challenged status,
46,shingles vaccine ingredients,include,sucrose,
47,shingles vaccine ingredients,include,hydrolyzed porcine gelatin,
48,hydrolyzed porcine gelatin,was reduced with,chemicals,
49,shingles vaccine ingredients,include,monosodium L-glutamate,
50,shingles vaccine ingredients,include,sodium phosphate dibasic,
51,shingles vaccine ingredients,include,potassium phosphate monobasic,
52,shingles vaccine ingredients,include,neomycin,
53,shingles vaccine ingredients,include,potassium chloride,
54,shingles vaccine ingredients,include,residual components of MRC-5 cells,
55,residual components of MRC-5 cells,including,DNA,
56,residual components of MRC-5 cells,including,protein,
57,shingles vaccine ingredients,include of course,bovine calf serum,
58,bovine calf serum,extracted from,cow skin,
59,bovine calf serum,causes,connective tissue disorders,when injected into humans
60,bovine calf serum,causes,arthritis,when injected into humans
61,bovine calf serum,causes,lupus,when injected into humans
62,bovine calf serum,causes,shortness of breath,when injected into humans
63,bovine calf serum,causes,chest pain,when injected into humans
64,bovine calf serum,causes ,skin reactions,when injected into humans
65,shingles,causes,painful skin rashes,
66,MRC-5,inherently dangerous to inject into,human muscle tissue,
67,shocking dangers,of injecting,MRC-5 cells,
68,MRC-5 cells,derived from,lung tissue,
69,lung tissue1,from,aborted human fetus,
70,National Vaccine Information Center,is a,non-profit vaccine safety group,
71,National Vaccine Information Center,recently conducted independent review of,childhood vaccine contents,
72,childhood vaccines,many are manufactured with,disturbing ingredients,
73,National Vaccine Information Center,found that many,childhood vaccines,
74,disturbing ingredients,like,aborted human fetal proteins,
75,disturbing ingredients,like,altered DNA material,
76,disturbing ingredients,like,genetically-modified human albumin,
77,independent review,done due to steady increase in,autism cases,
78,autism cases,include,neurological damage,
79,neurological damage,among,vaccinated children,
80,autism cases,include,brain damage,
81,brain damage,among,vaccinated children,
82,childhood vaccines,contain many,shingles vaccine ingredients,
83,researchers,extracted 20 years ago,lung tissue,
84,lung tissue,from 14-week,aborted baby,
85,researchers,developed,MCR-5,
86,MCR-5,used for,Varivax vaccine,
87,MCR-5,used for,MMR,
88,MCR-5,used for,Pro-Quad Hepatitis A,
89,RA 27/3,similar line to,MCR-5,
90,RA 27/3,in 1964 derived from another,aborted human baby,
91,RA 27/3,still used today in,Pro-Quad,
92,RA 27/3,still used today in,MMR II,
93,vaccines,containing,genetically engineered human protein,
94,genetically engineered human protein,also known as,recombinant human albumin,
95,vaccines,fly under the radar of most,Americans,
96,Americans,most have no clue,Western medicine,
97,Western medicine,is injecting Americans with,human blood,
98,human blood,is not,sourced blood,
99,public,has no idea where they come from,human blood,
100,public,wonders why they have,allergies,
101,public,wonders why they have,asthma,
102,public,wonders why they have,irritable bowels,
103,public,wonders why they have,autism,
104,public,wonders why they have many other,escalating health conditions,
105,public,wonders why they have many other,chronic health conditions,
106,nobody,reads,vaccine package insert,
107,vaccine package insert,does not contain any information about where is sourced,human blood,
108,shingles,can also lead to,pneumonia,tells CDC published warnings
109,shingles,can also lead to,brain inflammation,tells CDC published warnings
110,CDC published warnings,tells,victims,
111,vaccines,also lead to,pneumonia,
112,vaccines,also lead to,brain inflammation,
113,shingles vaccine,contains,antibioitic neomycin,
114,antibiotic neomycin,compromises,immunity,
115,immunity1,compromised by killing,good bacteria,
116,shingles vaccine,everyone who gets has,compromised immunity,
117,naturopathic physician,ask about,high doses vitamin B12,
118,naturopathic physician,ask about,high doses vitamin C,
119,high doses vitamin B12,inhibit,viral replication,
120,high doses vitamin C,inhibit,viral replication,
121,vitamin D,greatly boosts,natural immunity,
