index,source,edge,target,edge-comments
1,SB 277,is California's,vaccine violence,California
2,California's vaccine violence,is,SB 277,
3,SB 277,targets,genetically vulnerable children,
4,genetically vulnerable children,cannot eliminate harmful,toxins,
5,harmful toxins,are found in ,vaccines,
6,SB 277,is,mandatory vaccination law,
7,vaccine violence,against,children,
8,SB 277,will unleash against children,vaccine violence,
9,SB 277,posing grave risk of,permanent neurological injury,
10,SB 277,poses grave risk to,genetically vulnerable children,
11,vaccines,contain,aluminum,admitted by CDC
12,vaccines,contain,mercury,admitted by CDC
13,vaccines,contain,monosodium glutamate,admitted by CDC
14,vaccines,contain,formaldehyde,admitted by CDC
15,aluminum,are,neurotoxins,
16,mercury,are,neurotoxins,
17,monosodium glutamate,are,neurotoxins,
18,formaldehyde,are,neurotoxins,
19,healthy people,might eliminate relatively quickly,toxins,
20,genetically susceptible children,subgroup who cannot eliminate,toxins,
21,genetically susceptible adults,subgroup who cannot eliminate,toxins,
22,genetically susceptible children,are hyper-susceptible to,vaccine damage,
23,genetically susceptible adults,are hyper-susceptible to,vaccine damage,
24,genetically susceptible children,are,genetic ticking time bombs,of vaccine damage
25,genetically susceptible adults,are,genetic ticking time bombs,of vaccine damage
26,SB 277,makes no mention of,genetic susceptibility,
27,SB 277,does not require before vaccination,genetic screening,
28,vaccines,potentially is,dangerous medical intervention,
29,SB 277,refuses to require vaccine industry to,clean up vaccines,
30,SB 277,refuses to require vaccine industry to,remove toxic chemicals,
31,SB 277,refuses to require vaccine industry to,remove heavy metals,
32,toxic chemicals,damage,vaccine injury victims,
33,heavy metals,damage,vaccine injury victims,
34,genetically vulnerable children,are being deliberately sacrificed by,California government,
35,California government,is ,"aggressive, corporate-constructed effort",
36,California government,coerces,children,
37,children,hundreds permanently brain damaged by,swine flu vaccine,
38,vaccines,really damage,children,
39,UK government,agreed to pay $90 million to families of children permanently brain-damaged by,swine flu vaaccine,
40,vaccine injury compensation program,paid out nearly $3 billion in financial compensation to families of,vaccine-damaged children,
41,vaccine industry,instead of making vaccines safer engages in,widespread scientific bullying,
42,vaccine industry,instead of making vaccines safer engages in,deceitful social engineering,
43,vaccine industry,instead of making vaccines safer engages in,scientific fraud,
44,vaccine industry,instead of making vaccines safer engages in,bribery of doctors,
45,vaccine industry,instead of making vaccines safer engages in,media infiltration,
46,vaccine industry,falsely claims,vaccines are safe,
47,SB 277,attempts to coerce into being vaccinated,children,
48,SB 277,attempts to coerce into being vaccinated,genetically susceptible children,
49,SB 277,attempts to coerce children into being vaccinated without,informed consent,
50,genetically susceptible children,are far more likely to be,harmed by vaccines,
51,California's brain-damaged lawmakers,want to make equally brain-damaged,children of California,
52,California's lawmakers,are,brain-damanged,
53,media industry,answer to genetic vulnerability is,denial,
54,science of genetics,cast aside when it suits,media industry,
55,medical industry,hilariously scream that vaccine safety is backed by,science,
56,gene variation,affecting the MTHFR gene makes children especially vulnerable to,vaccine damage,
57,SB 277,does not require,genetic screening,
58,genetic screening,does not require genetic screening before,mandatory vaccination,
59,SB 277,will force children who are likely to be harmed by vaccines to be injected with vaccines against,parents' consent,
60,SB 277,is gross violation of,medical ethics,
61,SB 277,is gross violation of,parental choice,
62,SB 277,is gross violation of,human rights,
63,SB 277,is gross violation of,medical science,
