index,source,edge,target,edge-comments
1,Renee Gentry,is president of,Vaccine Injured Petitioners Bar Association,
2,anti-vaxx movement,is,anti-vaccine movement,
3,anti-vaccine movement,began in late 1990s after publication of now retracted,Wakefield study,
4,measles outbreak,rekindled,anti-vaccine movement,
5,anti-vaccine voices,voices boosted by celebrities like,Jenny McCarthy,
6,anti-vaccine voices,boosted by,celebrities,
7,anti-vaccine voices,have made it difficult for,vaccine-injured children,those who have seen the real but rare side effects of vaccines
8,side effects,are rare,vaccines,
9,vaccine debate,is,polarized area,said Renee Gentry
10,polarized area,has,side of right and good,or you're Jenny McCarthy
11,polarized area,has,Jenny McCarthy,
12,polarized area,has no,in between,
13,parents with vaccine-injured children,lie to,friends and family,
14,parents with vaccine-injured children,lie about,vaccine-injured children,
15,parents with vaccine-injured children,are afraid of being labeled as the,anti-vaxxers,
16,anti-vaxxers,are,anti-vaccine,
17,parents with vaccine-injured children,are afraid of being labeled as the,crazy people,
18,anti-vaxxers,are,crazy people,
19,Drew Downing,is Phoenix,lawyer,who specializes in vaccine injury cases
20,anti-vaccine label,is horrible,misrepresentation,for families who actually have vaccine-injured children
21,anti-vaccine label,is horrible misrepresentation for families who actually have,vaccine-injured children,said Drew Downing
22,anti-vaccine,because you disagree with,government mandate,forcing you to do something
23,anti-vaccine,some are for,the sake of being anti-vaccine,
24,anti-vaccine,because you have good faith,medical belief,that vaccination caused condition
25,anti-vaccine movement,has associated,negative perception,said Renee Gentry
26,negative perception,associated with anti-vaccine movement has made it difficult to have,open conversations,about real risks associated with vaccines
27,open conversations,are difficult to have about,vaccine risks,said Renee Gentry
28,anti-vaccine movement,has made it difficult to have open conversations about real,vaccine risks,said Renee Gentry
29,anti-vaccine movement,has made it difficult to have,open conversations,said Renee Gentry
30,negative perception,is associated with,anti-vaccine movement,said Renee Gentry
31,people,lose their minds if you say you have,vaccine allergy,said Renee Gentry
32,vaccines,are not magic,Pez dispensers,said Renee Gentry
33,vaccines,are not,magic,said Renee Gentry
34,vaccines,are not,miracles,said Renee Gentry
35,vaccines,are very,effective,said Renee Gentry
36,vaccines,"are very effective, incredibly necessary, man-made, for-profit",pharmaceuticals,"very effective, incredibly necessary, man-made, for profit"
37,vaccines,are incredibly,necessary,said Renee Gentry
38,vaccines,are,man-made,said Renee Gentry
39,vaccines,are,for-profit,said Renee Gentry
40,vaccines,should be treated as,pharmaceuticals,"very effective, incredibly necessary, man-made, for profit"
