index,source,edge,target,edge-comments,
1,medical dictatorship,surest sign is an aggressively enforced blockade against,intelligent questions,,
2,medical dictatorship,surest sign is an aggressively enforced,blockade,,
3,blockade,medical dictatorship enforced against,intelligent questions,,
4,intelligent questions,can destroy,medical police state,,
5,intelligent questions,expose the fraud of,medical police state,,
6,vaccine industry,characterizes as dangerous,intelligent questions,,
7,threat,to vaccine delusions are,intelligent questions,,
8,intelligent questions,are the greatest threat to ,vaccine delusions,,
9,vaccine delusions,are being played ot across the,world,,
10,people,are being threatened daring to ask,intelligent questions,,
11,people,daring to ask intelligent questions are now being threatened with,mass arrest,,
12,people,daring to ask intelligent questions are now being threatened with,imprisonment,,
13,vaccine industry,is,fraudulent,,
14,vaccine industry,has become,vulnerable,,
15,vaccine industry,can be brought down by mere,words,,
16,words,are not allowed to be circulated about,vaccines,,
17,intelligent questions,are not allowed to be asked about,vaccines,,
18,mainstream media,is,obedient,,
19,mainstream media,is,pharma-controlled,,
20,mainstream media,will never ask censored,intelligent questions,,
21,intelligent questions,are,censored,,
22,Merck,filed ,False Claims Act,,
23,Merck,filed False Claims Act describing astonishing,scientific fraud,,
24,False Claims Act,describe,scientific fraud,,
25,Merck,faked,vaccine results,,
26,Merck,tricked the,FDA,,
27,CDC scientist,openly confessed to,scientific fraud,,
28,CDC,committed,scientific fraud,,
29,CDC,selectively omitting,clincial trial data,,
30,link,existing between,vaccines and autism,,
31,CDC,obscure an existing,link,vaccine-autism link,
32,CDC,obscure an existing link between vaccines and,autism,,
33,William Thompson,omitted statistically significant information in,article,CDC,
34,African American males,who received the MMR vaccine before age 36 months were at increased risk for,autism,,
35,African American males,were at increased risk for autism who received before age 36 months,MMR vaccine,,
36,MMR vaccine,African American males who received it before age 36 months were at increased risk of,autism,,
37,mercury,is a,neurotoxic chemical,,
38,vaccine industry,refuses to remove from vaccines,mercury,,
39,lead,U.S. government tells us is BAD in,water,U.S. government tells us,
40,mercury,U.S. government tells us is GOOD in,vaccines,U.S. government tells us,
41,U.S. government,tells us is BAD,lead,in water,
42,U.S. government,tells us is GOOD,mercury,in vaccines,
43,measles vaccine,does not confer,immunity,,
44,vaccinated children,have something to fear from,measles outbreak,,
45,mercury,removing would be in interest of protecting,children,,
46,chickenpox vaccine,cause the spread of,chickenpox,,
47,infectious disease,historical public health charts show nearly all declines taking place before,vaccines,,
48,Dr. Suzanne Humphries,reveals truth about,vaccines,,
49,pro-vaccine group,in Africa discovered laced vaccines given to,African women,,
50,vaccines,secretly laced with abortion chemicals were given to,African women,,
51,African women,were being given vaccines secretly laced with,abortion chemicals,,
52,vaccines,being given to young African women were secretly laced with,abortion chemicals,,
53,controlled trials,there have been none adequately demonstrating decrease in influenza disease after vaccination with,FLULAVAL,,
54,influenza,there have been no controlled trials adequately demonstrating decrease after vaccination with,FLULAVAL,,
55,vaccines,are not,safe,,
56,vaccine industry,has absolute,legal immunity,,
57,vaccine products,cause,harm,,
58,vaccines,are not great for,public health,,
59,infectious disease declines,took place before,vaccines,,
60,death,at least 13 people in Italy after being,vaccinated,why,
61,vaccines,are not,trustworthy,,
62,vaccines,are not backed by solid,science,,
63,vaccine inserts,openly admit not backed by,clinical trials,,
64,Gardasil,causes,acute respiratory illness,,
65,acute respiratory illness,Gardasil causes in,babies,,
66,Gardasil,causes acute respiratory illness in,babies,,
67,mothers,causes acute respiratory illness in babies who have been vaccinated with,Gardasil,,
68,mothers,causes acute respiratory illness in babies who consume,breast milk,,
69,Gardasil,mothers who have been vaccinated causes acute respiratory illness in babies who consume,breast milk,,
70,Gardasil,causes,seizure-like activity,,
71,Gardasil,causes,headache,,
72,Gardasil,causes,fever,,
73,Gardasil,causes,nausea,,
74,Gardasil,causes,dizziness,,
75,Gardasil,causes,loss of consciousness,,
76,loss of consciousness,from Gardasil can cause,fall,,
77,fall,from loss of consciousness result in,injury,,
78,vaccine insert sheets,disclose long list of frightening and bizarre,side effects,,
79,vaccines,associated with long list of frightening and bizarre,side effects,,
80,adverse effects,experienced after,flu shot vaccines,,
81,adverse effects,experienced after flu shot vaccines include,eye pain,,
82,adverse effects,experienced after flu shot vaccines include,chest pain,,
83,adverse effects,experienced after flu shot vaccines include,arthritis,,
84,adverse effects,experienced after flu shot vaccines include,dizziness,,
85,adverse effects,experienced after flu shot vaccines include,tremors,,
86,adverse effects,experienced after flu shot vaccines include,syncope,losing consciousness,
87,adverse effects,experienced after flu shot vaccines include,convulsions,,
88,adverse effects,experienced after flu shot vaccines include,seizures,,
89,adverse effects,experienced after flu shot vaccines include,Guillian-Barre Syndrome,,
90,adverse effects,experienced after flu shot vaccines include,cranial nerve paralysis,,
91,adverse effects,experienced after flu shot vaccines include,limb paralysis,,
