index,source,edge,target,edge-comments
1,Surgeon General Vivek Murthy,uses to sell vaccines to minors,Elmo,
2,Elmo,is used to,sell vaccines to minors,
3,Surgeon General Vivek Murthy,uses Elmo to,sell vaccines to minors,
4,children,cannot make decisions of,informed consent,
5,marketing pharmaceuticals to children,is,unethical,
6,Surgeon General Vivek Murthy,is,marketing pharmaceuticals to children,
7,Surgeon General Vivek Murthy,is taunting those who are,vaccine-resistant,
8,Surgeon General Vivek Murthy,told Elmo that,vaccines are safe,
9,vaccines,are legally classified as,unavoidably unsafe,
10,Surgeon General Vivek Murthy,lied to,Elmo,
11,vaccines are safe,is a,lie,vaccine safety
12,vaccines are safe,telling children is unethical,government propaganda,vaccine safety
13,government,is telling,government propaganda,
14,government,is not telling children about,vaccine-related adverse outcomes,
15,vaccine-related adverse outcomes,include,seizures,
16,vaccine-related adverse outcomes,include,coma,
17,vaccine-related adverse outcomes,include,paralysis,
18,vaccine-related adverse outcomes,include,brain damage,
19,vaccine-related adverse outcomes,include,death,
20,vaccine-related adverse outcomes,include,seizures,
21,people,have,informed consent,
22,doctors,fail to screen for potential,vaccine reactions,
23,vaccines,are,not safe,
24,Surgeon General Vivek Murthy,is,unethical,
25,marketing vaccines to children,is,unethical,
26,Surgeon General Vivek Murthy,is,marketing vaccines to children,
27,government propaganda,is vaccine messages involving,Elmo,
28,vaccine messages,involving Elmo are,government propaganda,
29,Surgeon General Vivek Murthy,is taunting families who are,vaccine-resistant,
30,Vaccine Injury Compensation Program,has,paid damages,
31,Vaccine Injury Compensation Program,has paid out $3 billion in damages to 4000,vaccine injury cases,
32,Surgeon General Vivek Murthy,is rubbing salt in the wounds of,vaccine-injured families,
33,vaccine injury cases,Surgeon General Vivek Murthy is rubbing salt in the wounds of,vaccine-injured families,
