id,source,edge,target,edge-comments
1,children,hundreds brain damaged by,swine flu vaccine,
2,children,to receive $90 million in,financial compensation,
3,financial compensation,given from,UK government,
4,swine flu vaccine,caused,severe brain damage,
5,severe brain damage,in over 800,children,across Europe
6,UK government,agreed to pay $90 million in,financial compensation,
7,financial compensation,is part of a,vaccine injury settlement,
8,mainstream media,insists no harm whatsoever is caused by,swine flu vaccine,
9,swine flu vaccine,causes no,harm,
10,Washington Post,is quack science section outlet of U.S.,mainstream media,
11,Washington Post,is,quack science section,
12,New York Times,is outlet of U.S.,mainstream media,
13,New York Times,has,big pharma sellout pages,
14,mainstream media,every one exists in a state of total,vaccine injury denialism,
15,mainstream media,pushing on,toxic vaccines,
16,toxic vaccines,provably harm,children,
17,International Business Times,reports more than 800 across Europe made ill by swine flu vaccine,children,
18,swine flu vaccine,causes,narcolepsy,in hundreds of children
19,swine flu vaccine,causes,cataplexy,in hundreds of children
20,narcolepsy,caused by swine flu vaccine in hundreds of,children,
21,cataplexy,caused by swine flu vaccine in hundreds of,children,
22,narcolepsy,is sign of,neurological damage,
23,neurological damage,is caused by,vaccine additives,
24,vaccine additives,include,mercury,
25,vaccine additives,include,aluminum,
26,vaccine additives,include,MSG,
27,vaccine additives,include,antibiotics,
28,vaccine additives,include even,formaldehyde,
29,International Business Times,reports it affects sleeping cycle,narcolepsy,
30,narcolepsy,affects,sleeping cycle,
31,International Business Times,reports it leaves unable to sleep for more than 90 minutes at a time,narcolepsy,
32,narcolepsy,leaves,unable to sleep,reports International Business Times
33,narcolepsy,causes people to fall,unconscious,reports International Business Times
34,narcolepsy,damages,mental function,reports International Business Times
35,narcolepsy,can lead to,hallucinations,reports International Business Times
36,narcolepsy,can lead to,mental illness,reports International Business Times
37,cataplexy,causes a person to fall,unconscious,
38,cataplexy,causes,heightened emotion,
39,heightened emotion,includes,laughing,
40,children,in Norway were,brain-damaged,in Norway
41,Global Post,reports more that 170 cases of narcolepsy in,children,
42,children,more than 170 cases in Norway developed,narcolepsy,reports Global Post
43,narcolepsy,occurred in children after receiving,Pandemrix,
44,Global Post,reports $13 million in financial compensaion was paid out by,Norwegian government,
45,Norwegian government,paid out to 86 victims $13 million in,financial compensation,reports Global Post
46,financial compensation,was given to,victims,
47,victims,include 60,children,
48,WHO,launched,contrived swine flu panic campaign,
49,CDC,launched,contrived swine flu panic campaign,
50,contrived swine flu panic campaign,created,widespread,
51,widespread fear,would sell more,vaccines,
52,Disneyland measles outbreak,included in,widespread fear,
53,Disneyland measles outbreak,was,Disneyland measles operation,
54,Global Post,writes everyone was urged in 2009 to receive vaccinations by,Norwegian health authorities,
