index,source,edge,target,edge-comments
1,MMR vaccine,no evidence it raises,autism risk,april 21 issue of J of Am Med Assoc
2,children at increased genetic risk,no evidence it raises,autism risk,
3,no evidence,MMR vaccine raises,autism risk,
4,MMR vaccine-autism link,roots of theory in,Wakefield study,
5,Wakefield study,later found to be,fraudulent,
6,numerous international studies,have found no evidence for,MMR vaccine-autism link,
7,parents,still some remain,worried,
8,parents,who already have a child with autism seem even more concerned,child with autism,parents of kids with ASD
9,Jain study,finds no,vaccine-autism link,
10,autism,no increased risk even among,children at increased genetic risk,
11,parents of children with ASD,are more likely,delaying vaccinations,Dr. Bryan King said research has shown
12,delaying vaccinations,puts at risk of potentially serious infections,children,said Dr. Anjali Jain
13,health officials,blame,parents who choose to delay vaccination,for disease reappearance
14,measles reappearance,health officials blame in part on,parents who choose to delay vaccination,
15,United States,in recent years has seen a rising rate of,ASD,
16,child,one in 68 kids has some form of,ASD,according to latest federal estimates
17,genes,it is known that genes make certain children more vulnerable to,autism,
18,children with affected older sibling,are at higher-than-average risk,autism risk,increased risk
19,environmental factors,also have to play a role,autism,
20,ASD,range widely in,severity,
21,children with ASD,some have mild,problems with social interactions,
22,children with ASD,some are,unable to speak,
23,children with ASD,some focus on limited number of,repetitive behaviors,
24,children,some have,genetic predisposition,
25,genetic predisposition,makes more vulnerable to,autism,
26,environmental factors,must play a,role,experts believe
27,theory,of autism is,triple hit,said Dr. Bryan King
28,triple hit,includes,genetic predisposition,
29,triple hit,includes,environmental trigger,
30,environmental trigger,strikes during particular window in,brain development,
31,MMR vaccine,is not that,environmental trigger,say health experts
32,MMR vaccine,no evidence that it raised,autism risk,in either group of children
33,children with affected older sibling,no evidence that MMR vaccine raised,autism risk,
34,children without affected older sibling,no evidence that MMR vaccine raised,autism risk,
35,children with affected older sibling and who had received MMR vaccine,were actually one-quarter less likely to be diagnosed with,ASD,one dose by age 2
36,MMR vaccine,is probably not protective against,autism,said Dr. Bryan King
37,vaccination,was not associated with an increased risk in children with or without an affected,sibling,
38,environmental factors,we don't understand those contributing to the exponential rise in,ASD,
39,prenatal development,is,critical period,researchers suspect
40,autism risk,"among more than 322,000 children was elevated among children who had",mothers with pregnancy-related diabetes,researchers found
41,autism-linked genes,some are also involved in regulating,insulin,
42,children with affected older sibling,7% themselves had,ASD,compared with 1% of children without affected older sibling
43,parents who noticed developmental delays,may have,opted-out of vaccination,
