index,source,edge,target,edge-comments
1,vaccines,are hot topic for,debate,
2,vaccines,have eradicated many once,deadly diseases,
3,vaccines,protect us from other debilitating,diseases,
4,questions,remain about,vaccine safety,
5,safety of vaccines,questionable in relation to,autism,
6,evidence,there is none,vaccine-autism link,
7,CDC,assure there is no evidence of,vaccine-autism link,
8,American Academy of Pediatrics,assure there is no evidence of,vaccine-autism link,
9,doctor,formerly well respected caught falsifying data was,Andrew Wakefield,
10,doctor,caught falsifying data which claimed there was,vaccine-autism link,
11,parents,many continue to insist that,vaccines caused their children's autism,in spite of [Wakefield's falsified study]
12,,"In 2000, I read an article in the American Bar Association magazine regarding the increase of autism from 1 in 10,000 20 years prior to 1 in 150.",,
13,thimerosal,some believe is,culprit,
14,thimerosal,is,mercury additive,
15,mercury additive,used to stabilize,multi-dose vaccines,
16,,my husband and I decided to err on the side of caution and not allow our baby to receive vaccines with thimerosal,,
17,thimerosal,also in,Rho-GAM shots,doctor testified
18,Rho-GAM shots,given to,pregnant women,at 28 weeks if they had a negative blood type
19,autism rise,CDC claims due to,environmental issues,
20,autism rise,CDC claims due to,genetic tendencies,
21,autism rise,CDC claims due to,better diagnosis,
22,genetics,may play role in,autism rise,
23,thimerosal,is,autism trigger,
24,thimerosal,not necessary in,single dose vaccines,
25,thimerosal,pads pockets of,thimerosal manufactuers,addition to single dose vaccines
26,comprehensive studies,none have conclusively proven,thimerosal-autism link,
27,comprehensive studies,none have conclusively disproven,thimerosal-autism link,
28,multi-dose vials,need,preservative,
29,vaccines with thimerosal,may have led to,severe autism,
30,thimerosal removal,statement was,outright lie,
31,CDC,statement about thimerosal removal was,outright lie,
32,vaccine manufacturers,had cut back on,thimerosal,
33,vaccine manufactuers,in many cases use,trace amounts of thimerosal,
34,Bush Administration,granted ability to claim vaccines were thimerosal-free even if they contained trace amounts of thimerosal,pharmaceutical companies,
35,Bush Administration,granted pharmaceutical companies the ability to claim,thimerosal-free vaccines,
36,thimerosal-free vaccines,pharamaceutical companies claimed even if they contained,trace amounts of thimerosal,
37,thimerosal-free vaccines,even if claimed package insert would still list,thimerosal,
38,person,each processes differently,mercury,
39,trace amounts of thimerosal,therefore,spectrum,[different processing of mercury reflects different manifestations of autism spectrum]
40,trace amounts of thimerosal,differently affect,children,
41,flu shot,does not contain,trace amounts of thimerosal,
42,flu shot,contains up to 50 micrograms of,thimerosal,
43,CDC,claims,reduction of thimerosal,
44,reduction of thimerosal,is really an,oxymoron,
45,adult brain cells,sent off some type of shoots to get away from,thimerosal,
46,thimerosal,testimony given from respected research doctor at Baylor College of Medicine at,The Vaccine and Autism Congressional Hearing,
47,adult brain cells,same patterns in autism and,alzheimer's,said doctor
48,autism,brain cells same patterns with,alzheimer's,
49,alzheimer's,is in,elderly,
50,elderly,I found this comparison interesting given the number of getting,flu shot,
51,Homeland Security Bill,snuck in last minute provision which,prevented pharmaceutical companies from lawsuits for thimerosal harm,"So if thimerosal is so safe and not an issue, why was this provision snuck in, in the eleventh hour of the Homeland Security Bill?"
52,thimerosal,not a necessary component of,single dose vaccines,
53,thimerosal,does not affect efficacy of,single dose vaccines,
54,thimerosal,should be taken out of,vaccines,
55,my son's autism,was directly caused by,thimerosal in vaccines,
56,thimerosal,was also given if there was any bleeding during pregnancy or if amniocentesis was done,pregnant women,
57,pregnant women,were given thimerosal if there was any,bleeding during pregnancy,
58,pregnant women,were given thimerosal if was done,amniocentesis,
59,flu shot while pregnant,I never took because I knew flu shots had,high levels of thimerosal,
60,autistic children,15% had mothers that were,RH-,11 years ago there was a study
61,recent increase of autism,is,too much of a jump,in 15-year time frame
62,thimerosal,is the,trigger,
63,I believe in vaccines,but,I do not believe in thimerosal,
64,control group,when they 'researched' the effects of giving 2 flu shots in 2009 when the H1N1 strain came out was,11 people,are you kidding me?
65,autism numbers,increased from 1 in 88 to,1 in 68,Since 2009 when both regular flu shots AND H1N1 flu shots were given to babies and pregnant women
66,multi-dose vaccines,maybe it's time to eliminate because multi-dose vials require,preservative,
67,severe autism issues,our sons don't have due to our insistence in ensuring that they didn't,childhood vaccines with thimerosal,
68,more severe autism,if we had not been diligent with their,vaccines,
69,trace amounts of thimerosal,how many have caused an issue due to,increased number of vaccines,
