index,source,edge,target,edge-comments
1,measles,control through vaccines is one of the most successful public health,interventions,in recent years
2,measles vaccine,has reduced by 30 to 50 percent in some countries,childhood mortality,
3,childhood mortality,"reduction is even larger in most impoverished populations, reaching up to 90 percent from",measles vaccine,
4,childhood mortality,reduction is even larger in most,impoverished populations,from measles vaccine
5,measles vaccine,has additional benefits that are still poorly understood,benefits,
6,measles infection,typically accompanied by a severe,immunosuppression,
7,immunosuppression,"often thought to be transient, which increases the host's",susceptibility to other illnesses,
8,measles vaccine,"regardless of infectious agent, is associated with large reductions in",childhood mortality,WHO concluded
9,measles vaccine,appears to prevent some,opportunistic infections,
10,measles vaccine,protective effects can lead to reduction in,infectious disease mortality,of roughtly five years--and even persist for life in some cases
11,measles vaccine,has,long-term benefits,
12,measles vaccine,benefits are not,transient,
13,immunological mechanisms,we don't know of any that could explain,nonspecific vaccine benefits,
14,measles,could cause the loss of,immune memory cells,
15,measles,could erase previously acquired,immunity,Scientists have previously suggested one possible explanation
16,mass vaccination,"in Europe and the U.S., against measles was followed by reduction in",reduction in childhood mortality,
17,reduction in childhood mortality,was due to,nonmeasles infectious diseases,
18,measles virus,"for England and Wales, led to",immunosuppression,for an average of 28.3 months
19,immunospression,corresponded to a strengthened association between measles and,nonmeasles infectious diseases,
20,measles,strengthened association with,nonmeasles infectious diseases,
21,measles infections,may have contributed to as many as half of all,childhood deaths from infectious diseases,when measles was common
22,measles infections,reduction through,vaccination,the scientists found
23,vaccination,of measles infections was largest factor in reducing overall,childhood infectious disease mortality,
24,measles,may reset memory of our,immune system,the results of this study provide strong support
25,infection,can provide a robust,herd immunity,against subsequent epidemics
26,vaccination,can provide a robust,herd immunity,against subsequent epidemics
27,herd immunity,against other infections could actually be reduced by,measles infections,
