index,source,edge,target,edge-comments
1,measles,was not at,epidemic proportions,before [measles vaccine]
2,United States,had 3-4 million,measles cases,prior to [measles vaccine]
3,United States,had high number of,measles cases,prior to [measles vaccine]
4,United States,only about 450,measles deaths,prior to [measles vaccine]
5,United States,had low number of,measles deaths,prior to [measles vaccine]
6,shot of perspective,more valuable than,up-to-date vaccinations,
7,measles cases,.015% became,measles deaths,before [measles vaccine]
8,measles cases,low percentage became,measles deaths,before [measles vaccine]
9,measles,does not seem very,scary,
10,CDC,claims that around 1 or 2 out of a thousand,measles cases,will become [measles deaths]
11,measles cases,around 1 or 2 out of a thousand will become,measles deaths,CDC claims
12,math,does not add up for,CDC,
13,CDC,I guess they use the term about lightly,,
14,U.S. population,.000237% died from,measles death,prior to [measles vaccine]
15,U.S. population,low percentage died from,measles,prior to [measles vaccine]
16,global measles death count for children,is,scare tactic,
17,children,"197,000 did not die from",measles,
18,measles death count,given global population is not really,outrageous,given [global population]
19,measles death count,is not really outrageous given the global,population,
20,THEY,are counting on us not comprehending vast,population,of [global society]
21,THEY,are counting on,us not comprehending,
22,children,"240,000 die each year in low income countries from",neonatal infection,
23,diabetes deaths,1.26 million each year yet they're still pushing in school lunches,high fructose corn syrup,in [school lunches]
24,deaths,1.26 million each year from,diabetes deaths,
25,measles vaccine,very small decline in,measles death rate,
26,WHO,trying to,scare the crap out of you,
27,measles death rate,in U.S. was lower before,measles vaccine,than [global measles death rate] after [measles vaccine]
28,death from stomach ulcers,more common than,measles death,before [measles vaccine]
29,death from car accident,more common than,measles death,before [measles vaccine]
30,death from heart disease,more common than,measles death,before [measles vaccine]
31,death from murder,more likely than,measles death,before [measles vaccine]
32,death from congenital disease,more likely than,measles death,before [measles vaccine]
33,death from congenital malformation,more likely than,measles death,before [measles vaccine]
34,death from suicide,more likely than,measles death,before [measles vaccine]
35,measles,would have gone away without,measles vaccine,
36,pro-vax people,upset to hear,decline in measles prior to measles vaccine,
37,doctors,began in 1932 using,cod-liver oil,
38,cod-liver oil,used beginning in 1932 to treat,measles,
39,cod-liver oil,ended up lowering significantly,measles mortality rate,
40,vitamin A supplements,confirmed to reduce significantly,measles complications,1990 NEJM
41,vitamin A supplements,confirmed to reduce significantly,measles death rate,1990 NEJM
42,essential oils,would be interesting to know impact on,measles,
43,oil of oregano,is,essential oils,
44,essential oils,have,antiviral qualities,
45,homeopathy,would be interesting to know impact on,measles,
46,measles mortality rate,is not very,scary,
47,measles mortality rate,not as scary as,monster under the bed,
48,worldwide measles death rates,being cited as though represented likelihood of,U.S. measles death rates,
49,parents,were being told that,measles is deadly,
50,CDC,uses rather than rate of measles cases,number of measles cases,
51,number of measles cases,CDC uses rather than,rate of measles cases,
52,CDC,makes no attempt to adjust for drastic,population growth,
53,CDC,makes no attempt to adjust for,Baby Boom,
54,CDC,does not address 2-3 year,cycle of measles,
55,population increase,brought plateaued,measles cases,
56,population increase,not considered when presenting,measles data,
57,large spike,in 1958 in,actual number measles cases,
58,Baby Boomers,were,highly susceptible,
59,Baby Boomers,were highly susceptible because they were,children,
60,highly susceptible,were Baby Boomers because they were previously,unexposed,
61,Baby Boomers,were highly susceptible because they were previously,unexposed,
62,highly susceptible,were Baby Boomers because they were almost exclusively fed,formula,
63,Baby Boomers,were highly susceptible beause they were almost exclusively fed,formula,
64,Baby Boomers,during infancy from mother's milk did not get,measles antibodies,
65,measles historic cycle,would expect to see every 2 to 3 years,spike in measles cases,
66,first measles vaccine,deemed,failure,
67,failure,of first measles vaccine in ability to create,antibodies,first measles vaccine
68,measles historic cycle,did not happen after,Baby Boom,never saw another major spike after 2-3 years
69,measles cases,"held at around 400,000 level despite",population increase,
70,babies,in 1958 and 1959 almost all drinking,formula,
71,formula,babies were drinking instead of,breast milk,in 1958 and 1959
72,formula,in 1958 and 1959 finally fortified with,iron,commerical infant formulas
73,Miles Laboratory,in 1960 developed,Chocks,
74,Chocks,was first,chewable multivitamin,
75,chewable multivitamin,was aimed at,children,
76,Flinstones,followed shortly after,Chocks,
77,Kennedy's first executive order,in January of 1961 mandated,USDA food donations,to the poor
78,USDA food donations,rather than whatever was at surplus include variety of,fresh foods,
79,USDA food donations,later in 1961 required to donate to,schools,
80,USDA food donations,donated to,children,
81,children,could not afford,food,
82,Kennedy,continued to support until his death in November 1963,initiatives that helped the poor,
83,Kennedy,continued to support until his death in November 1963,initiatives that helped minorities,
84,Kennedy,work continued after,Kennedy's death,
85,President Johnson,in 1964 launched,War on Poverty,
86,measles decline,had been before,measles vaccine,
87,military records,show before measles vaccine,measle decline,
88,military records,used,actual rates,
89,military records,kept,great records,
90,military records,focused in on,one specific age range,
91,measles rate,dropped from 32.2 during,Civil War,to [Spanish American War]--derived from statistic 
92,measles rate,dropped to 26.1 during,Spanish American War,to [World War I]--derived from statistic 26.1 to 23.8
93,measles rate,dropped from 23.8 during,World War I,to [World War II]--derived from statistic 23.8 to 4.7
94,measles rate,dropped to 4.7 during,World War II,
95,Royal Navy records,also showed,measles decline,
96,measles rate,dropped from 16.0 per patients admitted during,World War I,to [World War II]--derived from statistic 16.0 per patients admitted to 2.9 per patients admitted
97,measles rate,dropped to 2.9 per patients admitted during,World War II,
