index,source,edge,target,edge-comments
1,scientists,crack a 50-year old,mystery,about the measles vaccine
2,measles vaccine,was 50-year old,mystery,
3,children,United States started vaccinating in 1960s for,measles,
4,children,stopped getting,measles,as expected after measles vaccine
5,childhood deaths,plummeted for,infectious diseases,after measles vaccine
6,diarrhea deaths,cut in half after,measles vaccine,
7,pneumonia deaths,cut in half after,measles vaccine,
8,scientists,saw same phenomenon of,measles vaccine,in England and in parts of Europe
9,measles vaccine,phenomenon today is seen in,developing countries,scientists see
10,Michael Mina,is postdoc in biology at,Princeton University,
11,Michael Mina,is,medical student,at [Emory University]
12,reduction in mortality,up to 80% in,developing countries,says Michael Mina
13,reduction in mortality,occurred after the introduction of,measles vaccine,
14,infectious diseases,are very high in,developing countries,
15,mortality rate decrease,following introduction of measles vaccine is,mystery,
16,children,who get measles vaccine are more likely to get,better health care,
17,children,are more likely to get better health care who receive,measles vaccine,
18,better health care,includes more,antibiotics,
19,better health care,includes other,vaccines,
20,United States,has seen since 1960s,health care improvement,
21,Mina team,used,epidemiological data,"from United States, Denmarck, Wales, and Englad dating back to 1940s"
22,Mina team,used,computer models,
23,measles cases number,predicted two to three years later,number of deaths from other infections,
24,measles virus,predisposes to other infectious diseases for up to a few years,children,says Michael Mina
25,measles,is known to suppress,immune system,for a few weeks after infection
26,measles,erases,immune protection,to other diseases
27,previous monkey studies show,measles erases,immune protection,says Michael Mina
28,immune system,after measles seems to have,immune amnesia,
29,immune system,has to start over after,measles infection,
30,immune system,after measles infection has to rebuild its immune protection against,prior diseases,
31,immune system,after measles infection has to rebuild its,immune protection,against prior diseases
32,immune amnesia,is still just a,hypothesis,says William Moss
33,immune amnesia,needs more,testing,says William Moss
34,William Moss,is,epidemiologist,
35,William Moss,has studied for more than a decade,measles vaccine,
36,William Moss,is at,Johns Hopkins University,
37,Mina study,provides compelling evidence says,William Moss,provides [compelling evidence1]
38,Mina study,provides compelling,evidence,says William Moss
39,evidence,in Mina study is that measles affects,immune system,for two to three years
40,measles,affects,immune system,for two to three years
41,reduction in child mortality,overall is much greater than previously believed following,measles vaccine,says William Moss
42,Mina study,should give more motivation to vaccinate kids to,parents,says William Moss
43,William Moss,was not involved in,Mina study,says William Moss
44,Mina study,will provide additional evidence of,public health benefits,says William Moss
45,measles vaccine,has,public health benefits,says William Moss
46,United States,is continuing to see,measles outbreaks,says William Moss
47,public health benefits,is,important message,
48,measles,"if world can eliminate, it will help protect",kids,from other infections
49,reduction in child mortality,following introduction of measles vaccine is,mystery,why do children stop dying at such high rates from all these different infections following introduction of the measles vaccine
