index,source,edge,target,edge-comments
1,U.S.,recommends,vaccines,more than any country in the world
2,United States,administered in early 1950s,diptheria vaccine,
3,United States,administered in early 1950s,tetanus vaccine,
4,United States,administered in early 1950s,pertussis vaccine,
5,United States,administered in early 1950s,smallpox vaccine,
6,children,received by two years old,13 doses of four vaccines,
7,children,received no more than three vaccines in a,single visit,
8,United States,administered in mid-1980s,diptheria vaccine,
9,United States,administered in mid-1980s,tetanus vaccine,
10,United States,administered in mid-1980s,pertussis vaccine,
11,United States,administered in mid-1980s,measles vaccine,
12,United States,administered in mid-1980s,mumps vaccine,
13,United States,administered in mid-1980s,rubella vaccine,
14,United States,administered in mid-1980s,polio vaccine,
15,children,received by two years old,15 doses of seven vaccines,
16,vaccines,received no more than four vaccines in,single visit,
17,vaccines,since 1980s many added to,schedule,
18,children,receive by two years old,37 doses of 14 vaccines,
19,vaccines,as many as eight vaccines in,single visit,
20,CDC,recommends by age 6,48 doses of 14 vaccines,
21,CDC,recommends by age 18,69 doses of 16 vaccines,
22,CDC,recommends,flu shot,
23,flu shot,recommended for all,Americans,from six months of age through year of death
24,dramatic rise,in,number of recommended shots,
25,number of recommended shots,dramatically risen for,children,
26,number of recommended shots,dramatically risen for,young adults,
27,media,blew out of proportion the California epidemic,whooping cough,
28,vaccination schedule,includes,stable diseases,
29,diseases,are actually stable included on the,vaccination schedule,in the U.S.
30,media stories,about an occasional outbreak of a disease are usually designed to promote as much,fear,
31,media stories,about an occasional outbreak of a disease never seem to balance their accounts with readily available,statistics,
32,media stories,never seem to balance their accounts with statistics supporting the facts about,childhood diseases,in the U.S.
33,vaccine proponents,always claim widespread use of vaccines has solely reduced incidence of,childhood diseases,
34,childhood diseases,incidence has not been reduced solely due to widespread use of,vaccines,
35,improved santitation,played big role before,vaccines,
36,improved healthcare,played big role after,vaccines,
37,improved living conditions,played big role after,vaccines,
38,U.S.,give more vaccines than other,first-world nations,
39,United States,giving more,vaccines,than other first-world nations
40,first-world nations,experiencing similar drop in,infectious diseases,
41,infectious diseases,drop thanks to,improved living conditions,
42,first-world nations,giving fewer,vaccines,than the U.S.
43,U.S.,has some of the,highest vaccine rates,on earth
44,U.S.,does not have the,world's healthiest children,
45,more vaccination,has not led to,more health,
46,more vaccination,has led to,more health,
47,more vaccination,dramatically increasing the number during the past 30 years may not have led to,healthier children,may not have
48,more vaccination,dramatically increasing the number during the past 30 years led to,sicker children,
49,misguided notion,that more is always better when it comes to,health,in U.S.
50,U.S.,has a fascination with believing that,"if a little is good, a lot must be better",
51,aspirin,considered by many one of safest,drugs,
52,headache,will disappear with two,aspirin,
53,serious problems,if you take ten,aspirin,
54,hospital,better hope is nearby if you take fifty,aspirin,
55,vaccination,dramatically increasing number has made richer,vaccine makers,
56,vaccinations,number has dramatically increased for,children,
57,vaccinations,number has more than tripled during past 30 years for,children,
58,learning disabilities,number has more than tripled during past 30 years for,children,
59,ADHD,number has more than tripled during past 30 years for,children,
60,asthma,number has more than tripled during past 30 years for,children,
61,diabetes,number has more than tripled during past 30 years for,children,
62,children,are moving in the opposite direction of,health,
63,vaccine makers,will tell you these are unrelated,statistics,
64,vaccine proponents,will tell you these are unrelated,statistics,
65,vaccines,no good scientific evidence that demonstrates not contributing to increasing incidence of,chronic illness,
