index,source,edge,target,edge-comments
1,GlaxoSmithKline,recalling remaining doses of,2014-2015 FLULAVAL QUADRIVALENT flu vaccine,
2,GlaxoSmithKline,voluntarily initiated,flu vaccine recall,
3,2014-2015 FLULAVAL QUADRIVALENT flu vaccine,potentially may have,reduced effectiveness,
4,2014-2015 FLULAVAL QUADRIVALENT flu vaccine,detected decrease in,vaccine potency,
5,vaccine potency,fell below pre-specified limit prior to expiration of,2014-2015 FLULAVAL QUADRIVALENT flu vaccine,
6,2014-2015 FLULAVAL QUADRIVALENT flu vaccine,reduced potency does not pose,safety concern,
7,2014-2015 FLULAVAL QUADRIVALENT flu vaccine,is quadrivalent flu vaccine that protects against,influenza viruses,
8,GSK flu vaccine recall,means the vaccine no longer meets the manufacturer's specifications for potency for these particular viruses because of,reduced vaccine potency,
9,reduced vaccine potency,does not necessarily mean people vaccinated received,reduced benefit,
10,CDC,does not recommend revaccination for people who received the recalled,2014-2015 FLULAVAL QUADRIVALENT flu vaccine,
11,vaccinated people,may be,revaccinated,of 2014-2015 FLULAVAL QUADRIVALENT flu vaccine
12,Northern Hemisphere flu vaccine,approved for use in the United States might provide,suboptimal protection,against flu viruses expected to circulate in the Southern Hemisphere
