name,sentiment,node,degree,degree centrality,betweenness centrality,closeness centrality
neutral_all.gml,neutral,7-11 year olds,2,0.00803212851406,0.0,0.0142793395805
neutral_all.gml,neutral,Alfred and Lisa Claire Dwoskin,1,0.00401606425703,0.0,0.0
neutral_all.gml,neutral,Americans,1,0.00401606425703,0.0,0.0
neutral_all.gml,neutral,Andrew Wakefield,5,0.0200803212851,0.000437232802176,0.021686746988
neutral_all.gml,neutral,Australia,1,0.00401606425703,0.0,0.0
neutral_all.gml,neutral,Barry Segal,1,0.00401606425703,0.0,0.0177260767207
neutral_all.gml,neutral,Ben Allen,4,0.0160642570281,0.0,0.0460145667415
neutral_all.gml,neutral,CDC,1,0.00401606425703,0.0,0.0
neutral_all.gml,neutral,CDC epidemiologist,1,0.00401606425703,0.0,0.0
neutral_all.gml,neutral,CDC investigators,2,0.00803212851406,3.2387614976e-05,0.00401606425703
neutral_all.gml,neutral,California,1,0.00401606425703,0.0,0.0
neutral_all.gml,neutral,Chairwoman Carol Liu,2,0.00803212851406,0.0,0.0464716006885
neutral_all.gml,neutral,Children's Hospital of Philadelphia,1,0.00401606425703,0.0,0.0
neutral_all.gml,neutral,Chris Christie,3,0.0120481927711,0.0,0.0120481927711
neutral_all.gml,neutral,Connie Leyva,3,0.0120481927711,0.0,0.0452476572959
neutral_all.gml,neutral,Current schedule,1,0.00401606425703,0.0,0.00401606425703
neutral_all.gml,neutral,Debate,1,0.00401606425703,0.0,0.00401606425703
neutral_all.gml,neutral,Disneyland measles outbreak,1,0.00401606425703,0.0,0.0
neutral_all.gml,neutral,Dr. Anna Acosta,2,0.00803212851406,0.0,0.00803212851406
neutral_all.gml,neutral,Dr. Paul Offit,3,0.0120481927711,0.0,0.0125502008032
neutral_all.gml,neutral,Drew Downing,1,0.00401606425703,0.0,0.00401606425703
neutral_all.gml,neutral,Dwoskin Family Foundation,8,0.0321285140562,0.0,0.0325301204819
neutral_all.gml,neutral,Focus for Health,4,0.0160642570281,0.00024290711232,0.0215146299484
neutral_all.gml,neutral,Gambhir study,3,0.0120481927711,0.0,0.0120481927711
neutral_all.gml,neutral,Generation Rescue,4,0.0160642570281,0.000388651379712,0.0214190093708
neutral_all.gml,neutral,Immunization Action Coalition,1,0.00401606425703,0.0,0.00401606425703
neutral_all.gml,neutral,Jenny McCarthy,3,0.0120481927711,0.0,0.0
neutral_all.gml,neutral,Lisa and J.B. Handley,1,0.00401606425703,0.0,0.0
neutral_all.gml,neutral,MMR vaccine,1,0.00401606425703,0.0,0.0053547523427
neutral_all.gml,neutral,MMR vaccine causes autism,2,0.00803212851406,0.0,0.0
neutral_all.gml,neutral,National Vaccine Information Center,2,0.00803212851406,1.6193807488e-05,0.00401606425703
neutral_all.gml,neutral,PLOS Computational Biology,1,0.00401606425703,0.0,0.0339382220239
neutral_all.gml,neutral,Pez dispensers,1,0.00401606425703,0.0,0.0
neutral_all.gml,neutral,Rand Paul,3,0.0120481927711,0.0,0.0120481927711
neutral_all.gml,neutral,Renee Gentry,1,0.00401606425703,0.0,0.00401606425703
neutral_all.gml,neutral,Republican,2,0.00803212851406,0.0,0.0
neutral_all.gml,neutral,Richard Pan,2,0.00803212851406,0.0,0.00903614457831
neutral_all.gml,neutral,SB277,26,0.104417670683,0.00468001036404,0.0697233377956
neutral_all.gml,neutral,SB277 change,1,0.00401606425703,0.0,0.0053547523427
neutral_all.gml,neutral,SB277 opponents,2,0.00803212851406,0.0,0.00803212851406
neutral_all.gml,neutral,SB277 proposal,2,0.00803212851406,0.0,0.0
neutral_all.gml,neutral,Saron Runner,1,0.00401606425703,0.0,0.0437880554476
neutral_all.gml,neutral,Senate Education Committee,1,0.00401606425703,0.0,0.0
neutral_all.gml,neutral,Senate committee,1,0.00401606425703,0.0,0.0
neutral_all.gml,neutral,Senate panel,1,0.00401606425703,0.0,0.0
neutral_all.gml,neutral,Tdap,1,0.00401606425703,0.0,0.00401606425703
neutral_all.gml,neutral,Tina Kimmel,2,0.00803212851406,0.0,0.0464716006885
neutral_all.gml,neutral,U.S.,3,0.0120481927711,0.0,0.0
neutral_all.gml,neutral,University of British Columbia,2,0.00803212851406,0.0,0.00401606425703
neutral_all.gml,neutral,Vaccinations,1,0.00401606425703,0.0,0.00401606425703
neutral_all.gml,neutral,Vaccine Injured Petitioners Bar Association,1,0.00401606425703,0.0,0.0
neutral_all.gml,neutral,Wakefield study,1,0.00401606425703,0.0,0.0
neutral_all.gml,neutral,Whooping cough,1,0.00401606425703,0.0,0.00401606425703
neutral_all.gml,neutral,acelluar vaccine,1,0.00401606425703,0.0,0.0
neutral_all.gml,neutral,acellular pertussis vaccine,8,0.0321285140562,0.00116595413914,0.0416385542169
neutral_all.gml,neutral,adolescents,2,0.00803212851406,0.0,0.0
neutral_all.gml,neutral,age 65 and older,2,0.00803212851406,0.0,0.0
neutral_all.gml,neutral,age 85 and older,1,0.00401606425703,0.0,0.0
neutral_all.gml,neutral,ages 65-84,1,0.00401606425703,0.0,0.0
neutral_all.gml,neutral,aluminum,1,0.00401606425703,0.0,0.00401606425703
neutral_all.gml,neutral,alzheimer's,1,0.00401606425703,0.0,0.00401606425703
neutral_all.gml,neutral,amendent,2,0.00803212851406,0.0,0.00803212851406
neutral_all.gml,neutral,anti-vaccine,4,0.0160642570281,9.71628449281e-05,0.0120481927711
neutral_all.gml,neutral,anti-vaccine bandwagon,1,0.00401606425703,0.0,0.0
neutral_all.gml,neutral,anti-vaccine label,2,0.00803212851406,0.0,0.00803212851406
neutral_all.gml,neutral,anti-vaccine movement,9,0.0361445783133,0.000566783262081,0.0206540447504
neutral_all.gml,neutral,anti-vaccine voices,3,0.0120481927711,0.0,0.0120481927711
neutral_all.gml,neutral,anti-vaxx movement,1,0.00401606425703,0.0,0.0140562248996
neutral_all.gml,neutral,anti-vaxxers,3,0.0120481927711,6.47752299521e-05,0.0125502008032
neutral_all.gml,neutral,artificial vaccine,1,0.00401606425703,0.0,0.00401606425703
neutral_all.gml,neutral,artificially created,1,0.00401606425703,0.0,0.0
neutral_all.gml,neutral,artificially created vaccine,1,0.00401606425703,0.0,0.00401606425703
neutral_all.gml,neutral,asthma,1,0.00401606425703,0.0,0.00401606425703
neutral_all.gml,neutral,autism,2,0.00803212851406,1.6193807488e-05,0.00401606425703
neutral_all.gml,neutral,autism epidemic,1,0.00401606425703,0.0,0.0
neutral_all.gml,neutral,autism spectrum disorder,2,0.00803212851406,0.0,0.00803212851406
neutral_all.gml,neutral,bacteria,1,0.00401606425703,0.0,0.0
neutral_all.gml,neutral,booster,1,0.00401606425703,0.0,0.0
neutral_all.gml,neutral,breathing,1,0.00401606425703,0.0,0.0
