,name,sentiment,node,degree,degree centrality,betweenness centrality,closeness centrality
0,article_pos1.gml,output_join,11-12 years of age,1,0.00117370892019,0.0,0.0
1,article_pos1.gml,output_join,11-18 year olds,1,0.00117370892019,0.0,0.0
2,article_pos1.gml,output_join,16 years of age,1,0.00117370892019,0.0,0.0
3,article_pos1.gml,output_join,2014-2015 FLULAVAL QUADRIVALENT flu vaccine,7,0.00821596244131,1.51713256429e-05,0.00469483568075
4,article_pos1.gml,output_join,Afghanistan,1,0.00117370892019,0.0,0.0
5,article_pos1.gml,output_join,Age of Autism,2,0.00234741784038,0.0,0.0850266495564
6,article_pos1.gml,output_join,American Medical Association,5,0.00586854460094,0.0,0.060041545648
7,article_pos1.gml,output_join,Americans,1,0.00117370892019,0.0,0.0673015364917
8,article_pos1.gml,output_join,Amish,3,0.00352112676056,0.000722706785169,0.0723772896193
9,article_pos1.gml,output_join,Andrew Wakefield,3,0.00352112676056,0.0,0.00352112676056
10,article_pos1.gml,output_join,Arizona Department of Health Services,2,0.00234741784038,0.0,0.00326030255608
11,article_pos1.gml,output_join,Assembly,1,0.00117370892019,0.0,0.0
12,article_pos1.gml,output_join,Australian social services minister,1,0.00117370892019,0.0,0.0
13,article_pos1.gml,output_join,CDC,4,0.00469483568075,0.0,0.0153339391186
14,article_pos1.gml,output_join,California,5,0.00586854460094,0.00187949737858,0.0802380235583
15,article_pos1.gml,output_join,California Coalition for Health Choice,3,0.00352112676056,0.000477207152039,0.0538359145936
16,article_pos1.gml,output_join,California Senate,1,0.00117370892019,0.0,0.0
17,article_pos1.gml,output_join,California governor,2,0.00234741784038,0.0,0.0587423650038
18,article_pos1.gml,output_join,Carribean,1,0.00117370892019,0.0,0.00156494522692
19,article_pos1.gml,output_join,Catholic Church,1,0.00117370892019,0.0,0.00117370892019
20,article_pos1.gml,output_join,Catholic parents,3,0.00352112676056,0.0,0.0041918175721
21,article_pos1.gml,output_join,Catholics,2,0.00234741784038,0.0,0.0709356582121
22,article_pos1.gml,output_join,Cervarix,3,0.00352112676056,0.0,0.0129512708435
23,article_pos1.gml,output_join,Christian Scientists,2,0.00234741784038,0.0,0.00234741784038
24,article_pos1.gml,output_join,Church of the First Born,2,0.00234741784038,0.0,0.00117370892019
25,article_pos1.gml,output_join,Colorado,2,0.00234741784038,4.59737140692e-07,0.00117370892019
26,article_pos1.gml,output_join,Department of Public Health Immunization Program,1,0.00117370892019,0.0,0.00156494522692
27,article_pos1.gml,output_join,Disneyland,2,0.00234741784038,0.0,0.0
28,article_pos1.gml,output_join,Disneyland measles outbreak,8,0.0093896713615,0.000485482420571,0.0844525145453
29,article_pos1.gml,output_join,Dr. Adams,4,0.00469483568075,0.0,0.106121577953
30,article_pos1.gml,output_join,Dr. Bill Adams,2,0.00234741784038,1.37921142208e-06,0.00117370892019
31,article_pos1.gml,output_join,Dr. Bryan King,3,0.00352112676056,0.0,0.00352112676056
32,article_pos1.gml,output_join,Dr. Mark Schleiss,3,0.00352112676056,0.0,0.0679462548421
33,article_pos1.gml,output_join,Dr. Paul Offit,3,0.00352112676056,0.0,0.00352112676056
34,article_pos1.gml,output_join,Dutch Bible belt,1,0.00117370892019,0.0,0.0
35,article_pos1.gml,output_join,Dutch reformed churches,5,0.00586854460094,0.000505480986191,0.00633802816901
36,article_pos1.gml,output_join,Eagle Mountain International Church,3,0.00352112676056,0.00873383991112,0.079185871596
37,article_pos1.gml,output_join,Early Childhood Australia,3,0.00352112676056,0.000204123290467,0.00117370892019
38,article_pos1.gml,output_join,Early Childhood Australia's chief executive,1,0.00117370892019,0.0,0.0
39,article_pos1.gml,output_join,End Time Ministries,2,0.00234741784038,0.0,0.00117370892019
40,article_pos1.gml,output_join,Faith Assembly,2,0.00234741784038,0.0,0.00117370892019
41,article_pos1.gml,output_join,Faith Tabernacle,2,0.00234741784038,0.0,0.00117370892019
42,article_pos1.gml,output_join,Federal Circuit,1,0.00117370892019,0.0,0.00117370892019
43,article_pos1.gml,output_join,First Century Gospel Church,2,0.00234741784038,0.0,0.00117370892019
44,article_pos1.gml,output_join,GSK flu vaccine recall,1,0.00117370892019,0.0,0.00156494522692
45,article_pos1.gml,output_join,Gardasil,13,0.0152582159624,0.00105509673789,0.0159890158561
46,article_pos1.gml,output_join,Gardasil 4,1,0.00117370892019,0.0,0.00117370892019
47,article_pos1.gml,output_join,Gardasil 9,1,0.00117370892019,0.0,0.00117370892019
48,article_pos1.gml,output_join,German measles,1,0.00117370892019,0.0,0.0
49,article_pos1.gml,output_join,GlaxoSmithKline,2,0.00234741784038,0.0,0.00422535211268
50,article_pos1.gml,output_join,Governor Jerry Brown,2,0.00234741784038,0.0,0.0546270233809
51,article_pos1.gml,output_join,HPV,3,0.00352112676056,0.0,0.0
52,article_pos1.gml,output_join,HPV Vaccine Trial in Costa Rica,4,0.00469483568075,0.0,0.00633802816901
53,article_pos1.gml,output_join,HPV infection,3,0.00352112676056,0.0,0.0
54,article_pos1.gml,output_join,HPV strains,3,0.00352112676056,0.0,0.0
55,article_pos1.gml,output_join,HPV vaccination rates,1,0.00117370892019,0.0,0.00117370892019
56,article_pos1.gml,output_join,HPV vaccine,28,0.0328638497653,0.0044336206997,0.0287260284873
57,article_pos1.gml,output_join,HPV vaccine benefits,3,0.00352112676056,0.0,0.00352112676056
58,article_pos1.gml,output_join,HPV vaccine recommendations,3,0.00352112676056,2.75842284415e-06,0.00234741784038
59,article_pos1.gml,output_join,Hib disease,2,0.00234741784038,0.0,0.00234741784038
60,article_pos1.gml,output_join,Hilary Clinton,1,0.00117370892019,0.0,0.0712032131628
61,article_pos1.gml,output_join,Hinduism,2,0.00234741784038,0.0,0.0784394745791
62,article_pos1.gml,output_join,Hollywood celebrities,1,0.00117370892019,0.0,0.00117370892019
63,article_pos1.gml,output_join,India,1,0.00117370892019,0.0,0.0475666002333
64,article_pos1.gml,output_join,Institute of Medicine,2,0.00234741784038,0.0,0.00234741784038
65,article_pos1.gml,output_join,Islamic principles,2,0.00234741784038,0.0,0.0
66,article_pos1.gml,output_join,JAMA paper,6,0.00704225352113,0.0,0.0847415057426
67,article_pos1.gml,output_join,Jain study,16,0.018779342723,0.000969723550863,0.0890340078533
