index,source,edge,target,edge-comments
1,mixed findings,studies yield for,high-dose flu vaccine,
2,high-dose flu vaccine,studies yield mixed findings for,elders,
3,standard flu vaccine,is appropriate for,age 65 and older,says CDC
4,high-dose flu vaccine,is appropriate for,age 65 and older,says CDC
5,high-dose flu vaccine,is more effective for those,age 85 and older,says new VA study
6,standard flu vaccine,works just as well for those,ages 65-84,published in journal Clinical Infectious Diseases
7,elders,have,reduced immunity,
8,high-dose flu vaccine,provided better protection against lab-confirmed,influenza illness,
9,high-dose flu vaccine,provided better protection against lab-confirmed flu illness than did the,standard vaccine,says Sanofi Pasteur
10,high-dose flu vaccine,triggered stronger,immune responses,says Sanofi Pasteur
11,side effect risk,difference in side effect risk between standard flu vaccine and high-dose flu vaccine is very,minimal,
12,high-dose flu vaccine,data suggests does a better job of preventing,symptomatic flu infections,
13,high-dose flu vaccine,the jury is still out on whether the high dose truly does a better job of preventing,major flu impacts,from institutional and public health perspective
14,high-dose flu vaccine,jury is still out on whether the high does truly does a better job of preventing major flu impacts like,hospitalization of elderly,from institutional and public health perspective
15,high-dose flu vaccine,jury is still out on whether the high does truly does a better job of preventing major flu impacts like,death of elderly,from institutional and public health perspective
