index,source,edge,target,edge-comments
1,CDC,forced to release,CDC documents,
2,thimerosal,is,vaccine preservative,
3,vaccine preservative,causes,autism,
4,CDC,has been shunning for a very long time,correlation between thimerosal and neurological disorders,
5,thimerosal,has correlation with,neurological disorders,
6,FDA,gave two year deadline to remove,thimerosal,
7,thimerosal,is,mercury based preservative,
8,thimerosal,is,neurotoxin,
9,neurotoxin,remains in 60 percent of,flu vaccines,
10,vaccine industry watchdog,obtained,CDC documents,
11,risks of autism,associated with,vaccine preservative,
12,CDC,denies even with confronted with their own data,autism-vaccine link,something the CDC denies even when confronted with their own data.
13,Brian Hooker,has been requesting for nearly ten years,CDC documents,
14,CDC documents,kept under tight wraps by,CDC,
15,Freedom of Information Act,requests have resulted in copious evidence for,thimerosal-neurodevelopmental disorders link,
16,thimerosal,still in,flu shot,
17,flu shot,administered to,pregnant women,
18,flu shot,administered to,infants,
19,thimerosal,can cause,autism,
20,thimerosal,can cause,neurodevelopmental disorders,
21,CDC officials,informed internally in 2000 of,high risk of autism,
22,CDC officials,informed internally in 2000 of,high risk of non-organic sleep disorder,
23,CDC officials,informed internally in 2000 of,high risk of speech disorder,
24,high risk of autism,associated with,thimerosal exposure,
25,high risk of non-organic sleep disorder,associated with,thimerosal exposure,
26,high risk of speech disorder,associated with,thimerosal exposure,
27,thimerosal,is a known,mercury,
28,thimerosal,is a known,human carcinogen,
29,thimerosal,is a known,mutagen,
30,thimerosal,is a known,teratogen,
31,thimerosal,is a known,immune-system disruptor,at levels below 1 ppm
32,anaphylactic shock,humans can have reaction in response to,thimerosal,
33,thimerosal,is a recognized,reproductive toxin,
34,thimerosal,is a recognized,fetal toxin,
35,thimerosal,for humans no toxicologically established,safe level of exposure,
36,FDA,has,Food and Drug Administration Modernization Act,
37,Food and Drug Administration Modernization Act,requiring study of,mercury content,in FDA-approved products
38,,,,
39,ethylmercury,review disclosed hitherto-unrecognized levels in,vaccines,
40,public-health officials,announced would be phased out,thimerosal phase out,
41,thimerosal phase out,of,vaccines,
42,thimerosal phase out,"CDC, American Academy of Pediatrics, and FDA insisted was",precautionary measure,"insisted the CDC, American Academy of Pediatrics, and FDA"
43,vaccine manufacturers,requested to,eliminate mercury,
44,eliminate mercury,requests denied by,vaccine manufacturers,
45,consumers,will never know if other products contain,thimerosal,
46,CDC officials,clear evidence knew about,autism risk,
47,autism risk,from exposure during infancy,thimerosal,
