index,source,edge,target,edge-comments
1,doctors,cover up,vaccine damage,
2,doctors,kill,infants,
3,doctors,kill infants with eight,simultaneous vaccinations,
4,simultaneous vaccinations,kill,infants,
5,infant,suddenly died after receiving eight,simultaneous vaccinations,
6,infant who died from simultaneous vaccinations,was hidden by,doctors,in California
7,parents,were never allowed to see their son before he was cremated,infant who died from simultaneous vaccinations,
8,Matthew Downing,was,infant who died from simultaneous vaccinations,
9,Crystal Downing,is mother of,Matthew Downing,
10,Matthew Downing,became grumpy and cried a lot the day after receiving eight,simultaneous vaccinations,said Crystal Downing
11,Matthew Downing,following vaccination became grumpy and cried a lot the day after receiving the eight inoculations was,normal behavior,thought Crystal Downing
12,vaccine-associated infant death,most cases are ruled as,sudden infant death syndrome,
13,investigations,none were conducted on the,cause of death,
14,parents,are often told to just accept as a random event,infant death,even after their infant was injected with multiple toxic substances
15,infant death,after their infant was injected with multiple,toxic substances,
16,vaccines,are,toxic substances,
17,Matthew Downing,had been given a vaccine not approved for his age,vaccine,
18,Matthew Downing,had been given an extra dose of the,hepatitis B vaccine,
19,parent's right,is to choose what's best for their,child,
20,vaccine violence,continues to show the importance of a,parent's right,
21,vaccine abuse,continues to show the importance of a,parent's right,
22,doctors,who are hell-bent on the philosophy of vaccination,should be questioned,
23,simultaneous vaccinations,use at once,should be questioned,
24,clinical trials,there are none showing,safety of simultaneous vaccinations,
25,aluminum adjuvants,in stimulating an adaptive immune response for multiple viruses,should be questioned,
26,informed consent,should be given about,vaccine dangers,
27,patients,should be allowed,informed consent,of the dangers of vaccines
28,doctors,many fail to give,informed consent,because they believe in vaccine science as if it's a religion
29,doctors,believe as if it's a religion,vaccine science,
30,vaccine science,many doctors believe is,religion,
31,doctor,rare to find MD who has investigated,vaccine ingredients,
32,vaccine ingredients,cause negative reactions that result in,brain damage,
33,vaccine ingredients,cause negative reactions that result in,death,
34,infant death after vaccination,medical professionals continuously just write off as,sudden infant death syndrome,
35,Crystal Downing,wrote,vaccines are not safe,
36,simultaneous vaccinations,will harm your,child,
