index,source,edge,target,edge-comments
1,MMR vaccine-autism link,does not,exist,
2,MMR vaccine,link does not exist to,autism,
3,MMR vaccine-autism link,does not exist even for,high-risk children,
4,scientists,you may have thought were done studying,MMR vaccine-autism link,
5,studies,numerous show no,MMR vaccine-autism link,
6,anti-vaccine advocates,frequently move goal posts with their,arguments,
7,MMR vaccine,might trigger,developmental disability,
8,anti-vaccine argument,is that MMR vaccine might trigger,developmental disability,
9,developmental disability,might be triggered only in certain,susceptible children,
10,high-risk children,were not more likely to develop,autism,if they had received the MMR vaccine
11,Dr. Paul Offit,is director of,Vaccine Education Center,
12,Dr. Paul Offit,is pediatrician at,The Children's Hospital of Philadelphia,
13,Dr. Paul Offit,is,pediatrician,at The Children's Hospital of Philadelphia
14,likelihood of developing autism,actually lower for,at-risk children,if they had received the MMR vaccine
15,vaccination,no one would suggest reduces,autism risk,
16,vaccination,reduces,disease,
17,disease,can disable,children,
18,disease,can kill,children,
19,disease,even more likely to cause serious,complications,in children with neurological conditions
20,evidence,study provides further for,vaccine safety,
21,study,provides further evidence of,MMR vaccine safety,
22,genetically-predisposed children,to adverse MMR reaction is a ,myth,says Dr. Mark Schleiss
23,study,dispels,myth,
24,biologically-predisposed children,to adverse MMR reaction is a ,myth,says Dr. Mark Schleiss
25,Dr. Mark Schleiss,is pediatric infectious disease physician at,University of Minnesota,
26,Dr. Mark Schleiss,is pediatric infectious disease,physician,
27,study,is very useful because it provides to parents,reassurance,to parents
28,reassurance,is about vaccinating ,children with neurodevelopmental issues,
29,reassurance,is about vaccinating ,siblings,of children with neurodevelopmental issues
30,children with neurodevelopmental issues,are particulary vulnerable to many,vaccine-preventable diseases,
31,vaccinated children,had no increased,risk of ASD,
32,unvaccinated children,had no increased,risk of ASD,
33,at-risk vaccinated children,had no increased,risk of ASD,
34,at-risk unvaccinated children,had no increased,risk of ASD,
35,study,had expected,findings,said Dr. Paul Offit
36,choice to not vaccinate younger child,did not decrease,risk of ASD,said Dr. Paul Offit
37,choice to not vaccinate younger child,only increased,risk of measles,said Dr. Paul Offit
38,choice to not vaccinate younger child,only increased,risk of mumps,said Dr. Paul Offit
39,choice to not vaccinate younger child,only increased,risk of rubella,said Dr. Paul Offit
40,findings,might have been expected by those in the,field,
41,findings,might have been expected by anyone following,research,
42,study,still cost,money,
43,money,for study came from,National Institutes of Health,
44,money,came from handful of major,universities,
45,money,could have gone to any number of,other projects,
46,resources,were invested in proving,what we already knew,precious resources
47,what we already knew,was that,MMR vaccine is safe,
48,what we already knew,was that,MMR vaccine doesn't trigger autism,
49,Andrew Wakefield,is,former gastroenterologist,
50,Andrew Wakefield,promulgated,shame,
51,Andrew Wakefield,promulgated,fraud,
52,resources,must now be focused on legitimate scientific,hypotheses about autism,says Dr. Mark Schleiss
53,researchers,need to keep studying,measles,says Dr. Mark Schleiss
54,researchers,need to keep studying,measles vaccine,says Dr. Mark Schleiss
55,MMR vaccine,unequivocally proven not associated with,ASD,says Dr. Mark Schleiss
56,measles,is still a,threat,across the world
57,measles,kills hundreds of thousands of,children,
58,Disneyland oubreak,showed once again that,measles,is highly contagious disease
59,research,needs to focus on making easier,vaccine delivery,
60,vaccine delivery,research needs to focus on making easier especially in,developing world,says Dr. Mark Schleiss
61,researchers,can always work to make better,measles vaccine,
62,better aerosol vaccine,developing might be effective use of,funds,
63,Dr. Bryan King,is psychiatrist and autism specialist at,Seattle Children's Hospital,
64,Dr. Bryan King,is,psychiatrist,
65,Dr. Bryan King,is,autism specialist,
66,age of onset of ASD,does not differ between,vaccinated children and unvaccinated children,says Dr. Bryan King
67,severity of ASD,does not differ between,vaccinated children and unvaccinated children,says Dr. Bryan King
68,course of ASD,does not differ between,vaccinated children and unvaccinated children,says Dr. Bryan King
69,risk of ASD recurrence,does not differ between,vaccinated children and unvaccinated children,says Dr. Bryan King
70,MMR vaccine,has nothing to do with,autism,any child at any time at any place in the universe
71,science,is settled on,MMR vaccine-autism link,
72,parents,will still fear,MMR vaccine-autism link,
73,parents,unfortunately there still will be with reservations about,vaccines,says Dr. Mark Schleiss
74,parents,are trying to do best for their,children,says Dr. Mark Schleiss
75,financial forces,are driving the,anti-vaccine agenda,says Dr. Mark Schleiss
76,Dr. Mark Schleiss,is concerned about,financial forces,driving the anti-vaccine agenda
77,anti-vaccine website,behind every website there's,someone looking to make a buck,says Dr. Mark Schleiss
78,anti-vaccine website,has someone looking to make a buck selling,chelators,says Dr. Mark Schleiss
79,anti-vaccine website,has someone looking to make a buck selling,vitamins,says Dr. Mark Schleiss
80,anti-vaccine website,has someone looking to make a buck selling,creams,says Dr. Mark Schleiss
81,anti-vaccine website,has someone looking to make a buck selling,salves,says Dr. Mark Schleiss
82,anti-vaccine website,has someone looking to make a buck selling,natural foods,says Dr. Mark Schleiss
83,anti-vaccine website,has someone looking to make a buck selling,raw milk,says Dr. Mark Schleiss
84,anti-vaccine website,has someone looking to make a buck selling,nutritional supplements,says Dr. Mark Schleiss
85,anti-vaccine website,has someone looking to make a buck selling,secretin,says Dr. Mark Schleiss
86,anti-vaccine website,has someone looking to make a buck selling,electrostimulation,says Dr. Mark Schleiss
87,anti-vaccine website,has someone looking to make a buck selling,spinal adjustment,says Dr. Mark Schleiss
88,anti-vaccine website,has someone looking to make a buck selling,books,says Dr. Mark Schleiss
89,anti-vaccine website,has someone looking to make a buck selling,tapes,says Dr. Mark Schleiss
90,anti-vaccine website,has someone looking to make a buck selling,video,says Dr. Mark Schleiss
91,Hollywood celebrities,fading seek to revive their,careers,says Dr. Mark Schleiss
92,proponents of alternative vaccine strategies,seek,celebrity status,says Dr. Mark Schleiss
93,proponents of alternative vaccine strategies,write,best-sellers,says Dr. Mark Schleiss
94,financial forces,are preying on vulnerable and resource-limited,families,says Dr. Mark Schleiss
95,families,are desperately seeking,answers,vulnerable and resource-limited
96,financial forces,behind every anti-vaccine website is,unconscionable,says Dr. Mark Schleiss
