,name,sentiment,node,degree,degree centrality,betweenness centrality,closeness centrality
0,article_neg.gml,network,religious exemption,1,0.00068306010929,0.0,0.0
1,article_neg.gml,network,child,8,0.00546448087432,0.00207838429905,0.0528166297224
2,article_neg.gml,network,flu shot campaign,1,0.00068306010929,0.0,0.0015612802498
3,article_neg.gml,network,toxic adjuvants,2,0.00136612021858,0.0,0.0
4,article_neg.gml,network,government health agencies,1,0.00068306010929,0.0,0.0742373211442
5,article_neg.gml,network,controversial,1,0.00068306010929,0.0,0.0
6,article_neg.gml,network,swine-flu-related drugs,1,0.00068306010929,0.0,0.0
7,article_neg.gml,network,safe level of exposure,1,0.00068306010929,0.0,0.0
8,article_neg.gml,network,heightened emotion,2,0.00136612021858,0.000161077059265,0.00068306010929
9,article_neg.gml,network,Dr. Paul Offit,16,0.0109289617486,0.0,0.0860322405813
10,article_neg.gml,network,tremors,1,0.00068306010929,0.0,0.0
11,article_neg.gml,network,disability,4,0.00273224043716,0.000275469562416,0.0697137790979
12,article_neg.gml,network,censored,1,0.00068306010929,0.0,0.0
13,article_neg.gml,network,flu shot while pregnant,1,0.00068306010929,0.0,0.00068306010929
14,article_neg.gml,network,partial facial paralysis,1,0.00068306010929,0.0,0.0
15,article_neg.gml,network,Merck's RotaTeq vaccine,2,0.00136612021858,0.0,0.0
16,article_neg.gml,network,safe form of mercury,2,0.00136612021858,0.000161077059265,0.00068306010929
17,article_neg.gml,network,financial compensation,7,0.00478142076503,0.00191179793747,0.0603441280183
18,article_neg.gml,network,legislators,2,0.00136612021858,9.33780053711e-07,0.00102459016393
19,article_neg.gml,network,risk,1,0.00068306010929,0.0,0.0
20,article_neg.gml,network,compassion,1,0.00068306010929,0.0,0.0
21,article_neg.gml,network,vaccine additives,10,0.0068306010929,0.00344875377269,0.0885854827872
22,article_neg.gml,network,Hilleman,2,0.00136612021858,0.0,0.057993894279
23,article_neg.gml,network,medical industry,1,0.00068306010929,0.0,0.0652741054116
24,article_neg.gml,network,medical ethics,1,0.00068306010929,0.0,0.0
25,article_neg.gml,network,school,1,0.00068306010929,0.0,0.0
26,article_neg.gml,network,irritable bowels,1,0.00068306010929,0.0,0.0
27,article_neg.gml,network,sicker children,1,0.00068306010929,0.0,0.0
