index,source,edge,target,edge-comments
1,herd mentality,is like,pack of lemmings,
2,herd mentality,is like pack of lemmings,unaware they're running over a cliff,
3,vaccine agenda,has,herd mentality,
4,Church of Vaccines,reprimand,parents who decide not to vaccinate,
5,Church of Vaccines,love to throw around the concept of,herd immunity,
6,vaccine agenda,is based on mindless,herd mentality,
7,people,are expected to just,line up,in herd mentality
8,people,are expected to just line right up and get,poison picked,in herd mentality
9,line up,expected of people to get,poison picked,in herd mentality
10,line up,expected of people without asking any honest,questions,in herd mentality
11,line up,expected of people without doing any independent,research,in herd mentality
12,herd mentality,is,mindless,
13,herd mentality,expects people to ask no honest,questions,
14,herd mentality,expects people to line up without doing any independent,research,
15,people,are told that,vaccines are safe,by media and health authorities
16,people,are told that,vaccines are effective,by media and health authorities
17,vaccines are safe,people are told by,media,
18,vaccines are effective,people are told by,media,
19,vaccines are safe,people are told by,health authorities,
20,vaccines are effective,people are told by,health authorities,
21,vaccine agenda,hides,mercury,that mercury is still added to flu shots
22,mercury,is still added to,flu shots,
23,vaccine companies,are lying about,vaccine safety,
24,vaccine companies,are lying about,vaccine efficacy,
25,Merck,exposed for,lying,about vaccine safety and vaccine efficacy
26,Merck,exposed for lying about,vaccine safety,
27,Merck,exposed for lying about,vaccine efficacy,
28,vaccine companies,exposed for,lying about vaccine safety,
29,vaccine companies,exposed for,lying about vaccine efficacy,
30,science,is allegedly settled for,vaccines,
31,vaccine refusal,is tearing apart,America,
32,vaccine refusal,is tearing America apart as,radicalism,quote one mainstream media columnist
33,America,is,lemming society,
34,critical thinking skills,simply isn't acceptable in a,lemming society,
35,evaluating the science independently,simply isn't acceptable in a,lemming society,
36,lemming society,is where public is told to,shut up,
37,lemming society,is where public is told to,obey the government,
38,the vaccinated herd,does not want to hear,science that disproves the official narrative,
39,CDC,are now approaching the,vaccination issue,
40,vaccination issue,if you question,vaccine safety,
41,vaccination issue,if you question,vaccine effectiveness,
42,you,"if question the vaccination issue, you will be told to",shut your mouth and comply,by CDC
43,you,will be told to shut your mouth and comply if you question,vaccination issue,by CDC
44,CDC,will tell you to,shut your mouth and comply,
45,herd mentality,millions of folks will do just that,shut your mouth and comply,
46,vaccines,destroy,immunity,
47,vaccines,do not support,immunity,
48,vaccine-resistant,is,critical thinking,
49,vaccine-resistant,will automatically be labeled a,member of the lunatic fringe,
50,vaccine-resistant,will likely also be ostracized by,members of the herd,
51,vaccines,spread,disease,
52,science,shows that,vaccines spread disease,
53,science,showing that vaccines spread disease doesn't matter to,the herd,
54,vaccines,spread,disease,
55,vaccines,do not prevent,disease,
56,questioning vaccines,you might also be accused of,believing the earth is flat,
57,questioning vaccines,you might also be accused of,child abuse,
58,vaccines,are,unsafe,
59,vaccines,are,ineffective,vaccines do not work
60,vaccines,do not provide,lifelong immunity,in the same way that natural disease contraction and recovery does
61,mandating vaccines,without allowing for any conscionable objections or informed consent is blatant,violation of Hippocratic Oath,
62,mandating vaccines,is blatant,violation of basic human rights,
63,human right,is to accept or reject any,medical treatment,
