index,source,edge,target,edge-comments
1,hepatitis B vaccine,giving to newborn baby boys more than triples their risk of developing,ASD,
2,hepatitis B vaccine,triples risk of developing ASD in,infant boys,
3,male neonates,vaccinated with hepatitis B vaccine had a 3-fold greater risk of,ASD,
4,hepatitis B vaccination,was associated with the receipt of,early intervention,
5,hepatitis B vaccination,was associated with the receipt of,special education services,
6,vaccines,uncertainty surrounding,safety,
7,vaccines,uncertainty surrounding,efficacy,
8,informed consent,protect your right and defend,vaccine exemptions,
9,informed consent,critical to,vaccination,
10,right,critical to make independent,health choices,
11,right,to exercise to vaccination is critical,informed consent,
12,informed consent,stand up and fight to protect and expand in,state public health laws,urgent that everyone in America
13,informed consent,stand up and fight to protect and expand in,employment laws,urgent that everyone in America
14,everyone in America,it is urgent,stand up and fight,
15,stand up and fight,to protect and expand,informed consent,
16,you,must,think globally act locally,
17,national vaccine policy recommendations,are made at the,federal level,
18,vaccine laws,are made at the,state level,
19,vaccine choice rights,action to protect can have greatest impact at,state level,
20,everyone,in standing up for,legal right,
21,legal right,to make in America voluntary,vaccine choice,
22,vaccine choices,are being threatened by,lobbyists,
23,vaccine choices,are being threatened by lobbyists representing,drug companies,
24,vaccine choices,are being threatened by lobbyists representing,medical trade associations,
25,vaccine choices,are being threatened by lobbyists representing,public health,officials
26,lobbyists,representing,drug companies,
27,lobbyists,representing,medical trade associations,
28,lobbyists,representing,public health,officials
29,lobbyists,trying to persuade,legislators,
30,legislators,lobbyists are trying to persuade to strip,vaccine exemptions,
31,vaccine exemptions,lobbyists trying to persuade legislators to strip from,public health,laws
32,public health officials,are trying to strip from public health laws,vaccine exemptions,from public health laws
33,you,become an effective,vaccine choice advocate,
34,vaccine story,share yours with,media,
35,vaccine story,share yours with,people you know,
36,you,please talk about it if suffered serious,vaccine reaction,
37,you,please talk about it if suffered,injury,from vaccines
38,you,please talk about it if suffered,deaths,from vaccines
39,family member,please talk about it if suffered serious,vaccine reaction,from vaccines
40,family member,please talk about it if suffered,injury,from vaccines
41,family member,please talk about it if suffered,deaths,from vaccines
42,letter to the editor,write if you have different perspective on,vaccine story,
43,radio talk show,call in if only presenting one side of,vaccine story,
44,you,might be strongly criticized for darking to talk about the other side of the,vaccine story,
45,vaccine story,only by sharing our perspective and what we know to be true about vaccination will the it open up,public conversation,
46,vaccine story,might be criticized for talking about,other side,
47,people,are afraid to talk about,vaccine story,
48,drug companies,we cannot allow them to dominate,conversation about vaccination,
49,medical trade associations,we cannot allow them to dominate,conversation about vaccination,
50,public health officials,we cannot allow them to dominate,conversation about vaccination,
51,medical trade associations,funded by,drug companies,
52,public health officials,promoting forced use of,growing list of vaccines,
53,vaccine injured,cannot be swept under,carpet,
54,vaccine injured,cannot be treated like nothing more than,statistically acceptable collateral damage,
55,statistically acceptable collateral damage,of national,one-size-fits-all mandatory vaccination policies,
56,one-size-fits-all mandatory vaccination policies,put way too many people at risk for,injury,
57,one-size-fits-all mandatory vaccination policies,put way too many people at risk for,deaths,
58,people,shouldn't be treated like,guinea pigs,
59,people,should be treated like,human beings,
60,National Vaccine Information Center,is,non-profit charity,
61,children,have suffered,vaccine reaction,
62,children,have suffered,injury,
63,children,have suffered,deaths,
64,adults,have suffered,vaccine reaction,
65,adults,have suffered,injury,
66,adults,have suffered,deaths,
67,post,if you or your child experiences,vaccine adverse event,
68,vaccine reaction symptoms,learn how to recognize and prevent,vaccine injuries,
69,post,descriptions of,harassment,
70,post,descriptions of,sanctions,
71,harassment,by,doctors,
72,harassment,by,employers,
73,harassment,by,school officials,
74,harassment,by,health officials,
75,sanctions,by,doctors,
76,sanctions,by,employers,
77,sanctions,by,school officials,
78,sanctions,by,health officials,
79,you,have the courage to find another if refuses to provide medical care unless you agree to get the vaccines you don't want,doctors,
80,harassment,for making independent,vaccine choices,
81,sanctions,for making independent,vaccine choices,
82,harassment,is becoming,modus operandi,of medical establishment
83,intimidation,is becoming,modus operandi,of medical establishment
84,refusal of medical care,is becoming,modus operandi,of medical establishment
85,modus operandi,to stop in parents,change in attitude,about vaccinations after they become truly educated about health and vaccination
86,change in attitude,of parents about,vaccination,
87,good news,growing number of smart,young doctors,
88,young doctors,prefer to work with parents as,partners,in making personalized vaccine decisions
89,individualized approach,in direct response to,vaccine safety concerns,of parents
90,young doctors,at least 15 percent admit starting to adopt,individualized approach,to vaccinations
91,young doctors,good news as partners with parents in making personalized,vaccine decisions,for children
92,young doctors,making personalized vaccine decisions such as,delaying vaccinations,
93,young doctors,making personalized vaccine decisions such as,giving children fewer vaccines on the same day,
94,personalized vaccine decisions,such as,delaying vaccinations,
95,personalized vaccine decisions,such as,giving children fewer vaccines on the same day,
96,young doctors,making personalized vaccine decisions such as continuing to provide medical care for,families who decline vaccines,
97,personalized vaccine decisions,include continuing to provide medical care for,families who decline vaccines,
98,doctor,take time to locate who treats you with,compassion,
99,doctor,take time to locate who treats you with,respect,
100,doctor,take time to locate one who is willing to work with you to do what is right for your,child,
101,hepatitis B vaccine,routine use began 1992 for all,newborns,
102,hepatitis B vaccine,absolutely no logical,argument,
103,hepatitis B vaccine,should never have been included in,immunization schedule,
104,newborns,really do not need,hepatitis B vaccine,
105,hepatitis B,is about as difficult to catch as,AIDS,
106,hepatitis B,nearly always need to have,blood or sexual contact,
107,hepatitis B risk factors,are,IV drug abusers,
108,hepatitis B risk factors,are,sex with multiple partners,
109,vaccine-derived immunity,is thought to be,short lived,
110,persons,up to 60% who initially respond will lose detectable,antibodies,within 12 years
111,hepatitis B vaccine,will provide little to no,protection,
112,hepatitis B vaccine,little to no protection to real,risks,
113,hepatitis B vaccine,harms far more than it helps,children,
114,promiscuous sexual behavior,real risk of acquiring,hepatitis B,
115,IV drug abuse,real risk of acquiring,hepatitis B,
116,Vaccine Adverse Event Reporting System,developed by government to report,vaccine reaction,
117,experts,believe only 10% reported,adverse reactions,
118,reporting,not mandated by,law,
119,surveys,put closer to 1% number of unreported,reactions,
120,VAERS hepatitis B reports,show 439,deaths,
121,VAERS hepatitis B reports,"show 9,673",serious reactions,
122,serious reactions,involving,emergency room visits,VAERS hepatitis B reports
