,name,sentiment,node,degree,deg cent,bet cent,clo cent
0,article_neg1.gml,negative,ACIP,1,0.000796178343949,0.0,0.0771043352809
1,article_neg1.gml,negative,ACIP's rotavirus use recommendation,1,0.000796178343949,0.0,0.0
2,article_neg1.gml,negative,ADHD,1,0.000796178343949,0.0,0.102969642474
3,article_neg1.gml,negative,AIDS,1,0.000796178343949,0.0,0.0
4,article_neg1.gml,negative,African American males,2,0.0015923566879,0.0,0.105347046856
5,article_neg1.gml,negative,African women,3,0.00238853503185,2.00894934064e-06,0.000796178343949
6,article_neg1.gml,negative,African-American children,1,0.000796178343949,0.0,0.0
7,article_neg1.gml,negative,Alysia Osoff,6,0.00477707006369,0.000425051386809,0.0973854110623
8,article_neg1.gml,negative,America,2,0.0015923566879,1.90321516482e-06,0.00143312101911
9,article_neg1.gml,negative,American Academy of Pediatrics,2,0.0015923566879,0.000217072262965,0.0958878711207
10,article_neg1.gml,negative,American Nursing Association's Code of Ethics,2,0.0015923566879,0.0,0.0
11,article_neg1.gml,negative,Americans,7,0.00557324840764,0.00489606749107,0.102907746823
12,article_neg1.gml,negative,Amish,2,0.0015923566879,0.0,0.00179140127389
13,article_neg1.gml,negative,Andrew Wakefield,1,0.000796178343949,0.0,0.0
14,article_neg1.gml,negative,Apartheid,1,0.000796178343949,0.0,0.0
15,article_neg1.gml,negative,Attkisson's website,2,0.0015923566879,0.000410460070546,0.088995305843
16,article_neg1.gml,negative,Australia,1,0.000796178343949,0.0,0.0965283429154
17,article_neg1.gml,negative,Baby Boom,2,0.0015923566879,0.0,0.0
18,article_neg1.gml,negative,Baby Boomers,5,0.00398089171975,0.0,0.104642832145
19,article_neg1.gml,negative,Baker College nursing school,3,0.00238853503185,2.53762021976e-06,0.000796178343949
20,article_neg1.gml,negative,Baker College nursing school instructors,6,0.00477707006369,0.000438710409671,0.0926382526008
21,article_neg1.gml,negative,Bell's Palsy,1,0.000796178343949,0.0,0.0
22,article_neg1.gml,negative,Big Pharma,13,0.0103503184713,0.00758210157005,0.12728909043
23,article_neg1.gml,negative,Big Tobacco,2,0.0015923566879,0.0,0.123914603841
24,article_neg1.gml,negative,Bill of Rights,1,0.000796178343949,0.0,0.0
25,article_neg1.gml,negative,Brian Hooker,1,0.000796178343949,0.0,0.0964145458709
26,article_neg1.gml,negative,Bruesewitz v. Wyeth,2,0.0015923566879,0.000406653640216,0.12107126356
27,article_neg1.gml,negative,Bush Administration,2,0.0015923566879,0.0,0.107416055959
28,article_neg1.gml,negative,CDC,62,0.0493630573248,0.0213490193756,0.154337269135
29,article_neg1.gml,negative,CDC and Big Pharma,3,0.00238853503185,0.0,0.0971879245811
30,article_neg1.gml,negative,CDC documents,4,0.0031847133758,0.00243301769714,0.11850096282
31,article_neg1.gml,negative,CDC published warnings,1,0.000796178343949,0.0,0.0901197118843
32,article_neg1.gml,negative,CDC scientific fraud,1,0.000796178343949,0.0,0.118785241155
33,article_neg1.gml,negative,CDC study,2,0.0015923566879,0.00010348304487,0.0960465514211
34,article_neg1.gml,negative,CDC website,8,0.00636942675159,0.000685347780851,0.10031210387
35,article_neg1.gml,negative,CDC whistleblower,2,0.0015923566879,8.60960860136e-05,0.104792625219
36,article_neg1.gml,negative,CNN,1,0.000796178343949,0.0,0.0
37,article_neg1.gml,negative,California Governor Jerry Brown,1,0.000796178343949,0.0,0.0866304252786
38,article_neg1.gml,negative,California bill,1,0.000796178343949,0.0,0.000796178343949
39,article_neg1.gml,negative,California government,8,0.00636942675159,0.000656901511334,0.119719034391
40,article_neg1.gml,negative,California's brain-damaged lawmakers,1,0.000796178343949,0.0,0.000796178343949
41,article_neg1.gml,negative,California's vaccine violence,1,0.000796178343949,0.0,0.107574664301
42,article_neg1.gml,negative,Children's Hospital,2,0.0015923566879,0.000430761032304,0.0968524696234
43,article_neg1.gml,negative,Chocks,3,0.00238853503185,0.000814576090542,0.0859272194175
44,article_neg1.gml,negative,Church of Vaccines,2,0.0015923566879,0.0,0.0015923566879
45,article_neg1.gml,negative,Civil War,1,0.000796178343949,0.0,0.0
46,article_neg1.gml,negative,Codename Artichoke,1,0.000796178343949,0.0,0.00106157112527
47,article_neg1.gml,negative,Congress,3,0.00238853503185,0.0,0.121855199018
48,article_neg1.gml,negative,Connie Smith,2,0.0015923566879,0.0,0.00179140127389
49,article_neg1.gml,negative,Constitution,1,0.000796178343949,0.0,0.0
50,article_neg1.gml,negative,Crystal Downing,2,0.0015923566879,0.0,0.0972204565722
51,article_neg1.gml,negative,DNA,2,0.0015923566879,0.0,0.0
52,article_neg1.gml,negative,DNA virus,1,0.000796178343949,0.0,0.0
53,article_neg1.gml,negative,David Kirby,1,0.000796178343949,0.0,0.000796178343949
54,article_neg1.gml,negative,Disney,1,0.000796178343949,0.0,0.0
55,article_neg1.gml,negative,Disneyland measles outbreak,3,0.00238853503185,0.000811404065268,0.094266649521
56,article_neg1.gml,negative,Dissolving Illusions,1,0.000796178343949,0.0,0.0
57,article_neg1.gml,negative,Dr. Paul Offit,16,0.0127388535032,0.0,0.124378297702
58,article_neg1.gml,negative,Dr. Suzanne Humphries,1,0.000796178343949,0.0,0.114824343328
59,article_neg1.gml,negative,Dr. William Thompson,2,0.0015923566879,0.0,0.0850920081361
60,article_neg1.gml,negative,Drug Companies and Doctor - A Story of Corruption,1,0.000796178343949,0.0,0.0
61,article_neg1.gml,negative,Eli Lily drug company reps,2,0.0015923566879,0.0,0.0644425881452
62,article_neg1.gml,negative,Elmo,4,0.0031847133758,0.000254396427031,0.000796178343949
63,article_neg1.gml,negative,Europe,1,0.000796178343949,0.0,0.0
64,article_neg1.gml,negative,European Medicines Agency,1,0.000796178343949,0.0,0.0659279633495
65,article_neg1.gml,negative,European countries,1,0.000796178343949,0.0,0.0
66,article_neg1.gml,negative,Every Child by Two,2,0.0015923566879,0.0,0.121404384371
67,article_neg1.gml,negative,"Evidence of Harm, Mercury in Vaccines and the Autism Epidemic, A Medical Controversy",1,0.000796178343949,0.0,0.0
68,article_neg1.gml,negative,FDA,7,0.00557324840764,0.00200666791206,0.114426192871
69,article_neg1.gml,negative,FETCH.news,2,0.0015923566879,3.1720252747e-06,0.000796178343949
70,article_neg1.gml,negative,FLULAVAL,2,0.0015923566879,0.0,0.0
71,article_neg1.gml,negative,False Claims Act,3,0.00238853503185,0.0,0.097014992331
72,article_neg1.gml,negative,First do no harm,2,0.0015923566879,0.0,0.0829448666684
73,article_neg1.gml,negative,Flinstones,1,0.000796178343949,0.0,0.0737738996251
74,article_neg1.gml,negative,Food and Drug Administration Modernization Act,2,0.0015923566879,4.3774726248e-05,0.109361049524
75,article_neg1.gml,negative,For Profit Offit,1,0.000796178343949,0.0,0.0
76,article_neg1.gml,negative,Freedom of Information Act,1,0.000796178343949,0.0,0.0960465514211
77,article_neg1.gml,negative,French Canadian descent,1,0.000796178343949,0.0,0.00458973398277
78,article_neg1.gml,negative,GMO,1,0.000796178343949,0.0,0.000796178343949
79,article_neg1.gml,negative,GMO soy and corn,1,0.000796178343949,0.0,0.000796178343949
